point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,王盈新2011/石汝杰
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,兔,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,徒,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,屠,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,途,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,涂,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,图,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,杜,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,肚,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,度,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,渡,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,镀,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,N,奴,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,N,努,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,N,怒,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,L,卢,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,L,炉,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,L,芦,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,L,鸬,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,L,颅,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,L,鲈,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,L,鲁,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,L,橹,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,L,虏,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,L,卤,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,L,路,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,L,赂,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,L,露,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,L,鹭,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,TS,租,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,TS,祖,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,TS,组,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,TS,做,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,TS,粗,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,TS,醋,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,TS,措,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,TS,错,o/əu,/～过,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,TS,苏,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,TS,酥,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,TS,素,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,TS,诉,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,TS,塑,əu,,
