point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,萧山方言研究
XH02,萧山城厢,太湖片-临绍小片,,,模,P,浦,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,铺,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,怖,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,蒲,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,菩,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,脯,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,葡,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,莆,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,部,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,簿,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,篰,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,步,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,捕,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,埠,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,M,模,o,,
XH02,萧山城厢,太湖片-临绍小片,,,模,M,模,o,,
XH02,萧山城厢,太湖片-临绍小片,,,模,M,摹,o,,
XH02,萧山城厢,太湖片-临绍小片,,,模,M,姥,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,M,暮,o,,
XH02,萧山城厢,太湖片-临绍小片,,,模,M,慕,o,,
XH02,萧山城厢,太湖片-临绍小片,,,模,M,墓,o,,
XH02,萧山城厢,太湖片-临绍小片,,,模,M,募,o,,
XH02,萧山城厢,太湖片-临绍小片,,,模,M,睦,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,都,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,都,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,赌,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,堵,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,肚,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,睹,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,妒,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,土,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,吐,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,吐,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,兔,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,徒,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,屠,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,途,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,涂,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,图,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,杜,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,肚,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,度,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,渡,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,T,镀,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,N,奴,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,N,努,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,N,怒,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,L,卢,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,L,炉,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,L,芦,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,L,鸬,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,L,颅,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,L,鲈,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,L,鲁,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,L,橹,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,L,虏,u/o,文读/白读,
XH02,萧山城厢,太湖片-临绍小片,,,模,L,卤,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,L,路,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,L,赂,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,L,露,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,L,鹭,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,TS,租,u,,
