point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,上海南汇方言老派同音字汇陈忠敏
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,吐,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,吐,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,兔,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,徒,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,屠,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,途,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,涂,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,图,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,杜,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,肚,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,度,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,渡,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,镀,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,N,奴,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,N,努,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,N,怒,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,L,卢,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,L,炉,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,L,芦,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,L,鸬,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,L,颅,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,L,鲈,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,L,鲁,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,L,橹,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,L,虏,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,L,卤,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,L,路,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,L,赂,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,L,露,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,L,鹭,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,TS,租,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,TS,祖,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,TS,组,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,TS,做,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,TS,粗,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,TS,醋,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,TS,措,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,TS,错,u/o,/～误,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,TS,苏,u, ,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,TS,酥,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,TS,素,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,TS,诉,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,TS,塑,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,TS,嗉,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,姑,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,孤,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,箍,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,辜,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,菇,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,鸪,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,蛄,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,古,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,估,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,盬,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,牯,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,股,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,鼓,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,蛊,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,故,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,固,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,锢,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,雇,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,顾,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,枯,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,苦,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,库,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,裤,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,吴,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,K,蜈,u,,
