point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,汪平1996
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,差,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,岔,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,差,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,茬,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,查,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,乍,o,书面语,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,沙,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,纱,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,痧,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,砂,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,鲨,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,裟,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,洒,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,厦,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,家,ɑ,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,傢,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,加,ɑ,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,痂,ɑ,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,嘉,ɑ,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,枷,ɑ,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,袈,ɑ,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,假,ɑ,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,贾,iɑ,姓,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,假,ɑ,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,架,ɑ,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,驾,ɑ,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,嫁,ɑ,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,稼,iɑ,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,价,ɑ,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,揢,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,牙,ɑ,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,芽,ɑ,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,衙,ɑ,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,伢,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,蚜,ɑ,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,雅,iɑ,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,K,砑,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,虾,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,�,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,嚇,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,霞,iɑ/io,文读/白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,瑕,iɑ/io,文读/白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,遐,iɑ/io,文读/白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,蝦,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,下,o,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,夏,o,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,厦,o,～门,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,下,o,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,夏,o,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,暇,iɑ/io,文读/白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,鸦,o,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,丫,o,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,桠,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,哑,o,白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,Ø,亚,iɑ/io,文读/白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,补,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,谱,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,哺,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,布,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,佈,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,铺,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,潽,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,普,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,浦,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,铺,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,怖,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,蒲,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,菩,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,脯,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,葡,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,莆,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,部,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,簿,v,,
