point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,浙江上虞百官镇方言音系
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,部,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,簿,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,篰,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,步,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,捕,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,埠,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,M,模,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,M,模,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,M,摹,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,M,姥,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,M,暮,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,M,慕,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,M,墓,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,M,募,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,M,睦,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,都,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,都,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,赌,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,堵,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,肚,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,睹,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,妒,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,土,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,吐,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,吐,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,兔,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,徒,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,屠,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,途,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,涂,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,图,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,杜,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,肚,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,度,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,渡,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,T,镀,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,N,奴,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,N,努,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,N,怒,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,L,卢,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,L,炉,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,L,芦,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,L,鸬,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,L,颅,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,L,鲈,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,L,鲁,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,L,橹,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,L,虏,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,L,卤,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,L,路,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,L,赂,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,L,露,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,L,鹭,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,TS,租,y,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,TS,祖,y,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,TS,组,y,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,TS,做,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,TS,粗,y,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,TS,醋,y,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,TS,措,y,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,TS,错,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,TS,苏,y,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,TS,酥,y,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,TS,素,y,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,TS,诉,y,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,TS,塑,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,TS,嗉,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,姑,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,孤,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,箍,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,辜,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,菇,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,鸪,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,蛄,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,古,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,估,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,盬,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,牯,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,股,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,鼓,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,蛊,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,故,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,固,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,锢,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,雇,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,顾,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,枯,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,苦,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,库,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,裤,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,吴,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,蜈,u,白读,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,吾,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,梧,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,五,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,伍,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,午,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,忤,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,误,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,K,悟,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,呼,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,虎,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,浒,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,琥,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,戽,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,胡,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,湖,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,狐,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,壶,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,乎,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,瓠,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,鬍,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,糊,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,蝴,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,瑚,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,户,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,沪,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,互,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,护,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,瓠,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,糊,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,乌,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,污,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,坞,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,Ø,恶,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,豪,P,褒,ɔ,,
SY01,上虞百官镇,太湖片-临绍小片,,,豪,P,保,ɔ,,
SY01,上虞百官镇,太湖片-临绍小片,,,豪,P,堡,ɔ,,
SY01,上虞百官镇,太湖片-临绍小片,,,豪,P,宝,ɔ,,
SY01,上虞百官镇,太湖片-临绍小片,,,豪,P,报,ɔ,,
SY01,上虞百官镇,太湖片-临绍小片,,,豪,P,袍,ɔ,,
SY01,上虞百官镇,太湖片-临绍小片,,,豪,P,抱,ɔ,,
SY01,上虞百官镇,太湖片-临绍小片,,,豪,P,暴,ɔ,,
SY01,上虞百官镇,太湖片-临绍小片,,,豪,P,菢,,,
