point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,俞光中1988
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,在,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,载,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,腮,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,鳃,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,赛,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,塞,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,K,该,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,K,改,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,K,概,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,K,溉,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,K,开,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,K,凯,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,K,慨,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,K,咳,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,K,呆,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,K,磑,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,K,碍,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,Ø,海,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,Ø,孩,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,Ø,亥,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,Ø,哀,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,Ø,埃,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,Ø,唉,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,Ø,爱,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,P,贝,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,P,狈,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,P,沛,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,T,带,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,T,太,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,T,泰,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,T,大,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,T,汏,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,N,奈,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,L,赖,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,L,癞,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,TS,蔡,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,K,盖,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,K,丐,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,K,艾,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,Ø,害,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,Ø,蔼,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,灰,P,杯,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,灰,P,辈,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,灰,P,背,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,灰,P,胚,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,灰,P,坯,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,灰,P,配,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,灰,P,培,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,灰,P,陪,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,灰,P,赔,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,灰,P,裴,,,
