point_id,point_name,onset_class,chain_slot,phonetic_frequency
FC01,奉城, K,S2,"u(17), ɯ(1), ɔ(1)"
FC01,奉城, K,S3,u(23)
FC01,奉城, M,S0,ɑ(3)
FC01,奉城, M,S1,"o(5), ɑ(1)"
FC01,奉城, M,S2,o(5)
FC01,奉城, M,S3,o(6)
FC01,奉城, N,S0,ɑ(1)
FC01,奉城, N,S1,o(1)
FC01,奉城, N,S2,u(6)
FC01,奉城, N,S3,u(10)
FC01,奉城, P,S0,ɑ(7)
FC01,奉城, P,S1,"o(8), ɑ(1)"
FC01,奉城, P,S2,u(5)
FC01,奉城, P,S3,u(14)
FC01,奉城, T,S2,"u(6), ɑ(2), o(1)"
FC01,奉城, T,S3,u(20)
FC01,奉城, Ø,S0,ɑ(6)
FC01,奉城, Ø,S1,"ɔ(5), iɑ(3), o(1)"
FC01,奉城, Ø,S2,u(12)
FC01,奉城, Ø,S3,u(11)
FC01,奉城,TS,S1,o(1)
FC01,奉城,TS,S2,"u(8), i(1)"
FC01,奉城,TS,S3,"u(10), o(1)"
FC01,奉城,TS*,S0,"ɑ(6), o(2)"
FC01,奉城,TS*,S1,"o(10), ɑ(1)"
FH01,奉化西坞, K,S0,"a(8), ia(3), ie(2), ɛ(1)"
FH01,奉化西坞, K,S1,"o(12), ia(3)"
FH01,奉化西坞, K,S2,əu(19)
FH01,奉化西坞, K,S3,"u(24), əu(1)"
FH01,奉化西坞, M,S0,"a(2), ɛi(1)"
FH01,奉化西坞, M,S1,o(7)
FH01,奉化西坞, M,S2,əu(3)
FH01,奉化西坞, M,S3,əu(2)
FH01,奉化西坞, N,S0,a(1)
FH01,奉化西坞, N,S2,"əu(6), o(2), a(2)"
FH01,奉化西坞, N,S3,"u(13), əu(1)"
FH01,奉化西坞, P,S0,"a(6), o(1)"
FH01,奉化西坞, P,S1,"o(10), a(2)"
FH01,奉化西坞, P,S2,"əu(8), o(2)"
FH01,奉化西坞, P,S3,u(16)
FH01,奉化西坞, T,S2,"əu(12), a(2), o(1)"
FH01,奉化西坞, T,S3,u(21)
FH01,奉化西坞, Ø,S0,"a(7), ie(1)"
FH01,奉化西坞, Ø,S1,"o(8), ia(3)"
FH01,奉化西坞, Ø,S2,"əu(15), u(2)"
FH01,奉化西坞, Ø,S3,u(18)
FH01,奉化西坞,TS,S1,o(2)
FH01,奉化西坞,TS,S2,"əu(8), o(3)"
FH01,奉化西坞,TS,S3,"u(6), y(4)"
FH01,奉化西坞,TS*,S0,a(7)
FH01,奉化西坞,TS*,S1,"o(13), a(1)"
FJ01,枫泾镇, K,S0,"ᴀ(7), iᴀ(4)"
FJ01,枫泾镇, K,S1,"ᴀ(12), iᴀ(4)"
FJ01,枫泾镇, K,S2,"əu(17), ɤ(1), o(1)"
FJ01,枫泾镇, K,S3,"əu(16), u(6)"
FJ01,枫泾镇, M,S0,ᴀ(3)
FJ01,枫泾镇, M,S1,"o(5), ᴀ(1)"
FJ01,枫泾镇, M,S2,u(4)
FJ01,枫泾镇, M,S3,"u(4), o(2)"
FJ01,枫泾镇, N,S0,ᴀ(1)
FJ01,枫泾镇, N,S1,"ᴀ(1), o(1)"
FJ01,枫泾镇, N,S2,u(7)
FJ01,枫泾镇, N,S3,u(10)
FJ01,枫泾镇, P,S0,ᴀ(7)
FJ01,枫泾镇, P,S1,"o(8), ᴀ(4)"
FJ01,枫泾镇, P,S2,u(5)
FJ01,枫泾镇, P,S3,u(14)
FJ01,枫泾镇, T,S2,"u(6), ᴀ(2), o(1)"
FJ01,枫泾镇, T,S3,u(20)
FJ01,枫泾镇, Ø,S0,"ᴀ(6), ɛ(1)"
FJ01,枫泾镇, Ø,S1,"o(6), iᴀ(5), ɔ(2)"
FJ01,枫泾镇, Ø,S2,u(10)
FJ01,枫泾镇, Ø,S3,u(11)
FJ01,枫泾镇,TS,S1,o(1)
FJ01,枫泾镇,TS,S2,u(8)
FJ01,枫泾镇,TS,S3,"u(10), o(1)"
FJ01,枫泾镇,TS*,S0,"ᴀ(9), ɛ(1), o(1)"
FJ01,枫泾镇,TS*,S1,"o(9), ᴀ(3)"
FX01,奉贤, K,S0,"iɑ(6), ɑ(5)"
FX01,奉贤, K,S1,"ɑ(13), iɑ(3)"
FX01,奉贤, K,S2,"u(17), ɯ(1), ɔ(1)"
FX01,奉贤, K,S3,u(25)
FX01,奉贤, M,S0,ɑ(3)
FX01,奉贤, M,S1,"o(5), ɑ(1)"
FX01,奉贤, M,S2,o(4)
FX01,奉贤, M,S3,o(6)
FX01,奉贤, N,S0,ɑ(1)
FX01,奉贤, N,S1,"o(1), ɑ(1)"
FX01,奉贤, N,S2,u(8)
FX01,奉贤, N,S3,u(12)
FX01,奉贤, P,S0,ɑ(7)
FX01,奉贤, P,S1,"o(11), ɑ(6)"
FX01,奉贤, P,S2,u(8)
FX01,奉贤, P,S3,u(18)
FX01,奉贤, T,S2,"u(9), ɑ(2), o(1)"
FX01,奉贤, T,S3,u(20)
FX01,奉贤, Ø,S0,"ɑ(6), iɛ(1), e(1)"
FX01,奉贤, Ø,S1,"iɑ(8), ɔ(5), o(4)"
FX01,奉贤, Ø,S2,u(13)
FX01,奉贤, Ø,S3,u(16)
FX01,奉贤,TS,S1,o(2)
FX01,奉贤,TS,S2,"u(8), i(1)"
FX01,奉贤,TS,S3,"u(11), o(1)"
FX01,奉贤,TS*,S0,"ɑ(9), o(1)"
FX01,奉贤,TS*,S1,"o(10), ɑ(2)"
FY01,富阳城关, K,S0,"a(14), iɛ(2), o(1)"
FY01,富阳城关, K,S1,"o(16), ia(4)"
FY01,富阳城关, K,S2,"ʊ(17), u(7)"
FY01,富阳城关, K,S3,u(24)
FY01,富阳城关, M,S0,a(3)
FY01,富阳城关, M,S1,"o(5), a(2)"
FY01,富阳城关, M,S2,"ʊ(4), a(2)"
FY01,富阳城关, M,S3,ʊ(6)
FY01,富阳城关, N,S0,"a(1), ɛ(1)"
FY01,富阳城关, N,S1,a(1)
FY01,富阳城关, N,S2,"ʊ(9), a(2), o(1), i(1)"
FY01,富阳城关, N,S3,ʊ(16)
FY01,富阳城关, P,S0,"a(6), o(1)"
FY01,富阳城关, P,S1,"o(11), a(1)"
FY01,富阳城关, P,S2,"u(9), o(1)"
FY01,富阳城关, P,S3,u(21)
FY01,富阳城关, T,S2,"ʊ(14), a(3)"
FY01,富阳城关, T,S3,ʊ(21)
FY01,富阳城关, Ø,S0,a(6)
FY01,富阳城关, Ø,S1,"o(9), ia(2)"
FY01,富阳城关, Ø,S2,"u(16), o(2), a(1), ua(1)"
FY01,富阳城关, Ø,S3,u(20)
FY01,富阳城关,TS,S1,o(2)
FY01,富阳城关,TS,S2,ʊ(8)
FY01,富阳城关,TS,S3,ʊ(13)
FY01,富阳城关,TS*,S0,"a(8), o(1)"
FY01,富阳城关,TS*,S1,"o(16), a(2)"
FY02,富阳东梓关, K,S0,"a(13), iɛ(3), ia(2)"
FY02,富阳东梓关, K,S1,"uo(13), ia(5)"
FY02,富阳东梓关, K,S2,u(20)
