point_id,point_name,subbranch,candidate_nucleus,observed_token_count,point_monophthong_token_count,in_core_nucleus,in_core_back_nucleus,core_nucleus_token_count,log_core_nucleus_token_count,candidate_is_back,distance_to_au,phonetic_fit_to_au,log_core_nucleus_token_count_z,phonetic_fit_to_au_z,predicted_probability,predicted_token_count
FJ01,枫泾镇,太湖片-苏沪嘉小片,ɐ,0,69,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.0011685185741195521,0.08062778161424909
FJ01,枫泾镇,太湖片-苏沪嘉小片,ə,1,69,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.0011685185741195521,0.08062778161424909
FJ01,枫泾镇,太湖片-苏沪嘉小片,ɯ,0,69,0,0,0,0.0,1,1.5391231269784755,-1.5391231269784755,-0.46693359802595813,-0.6078044597402487,0.00083066810173943,0.057316099020020675
FJ01,枫泾镇,太湖片-苏沪嘉小片,a,0,69,0,0,0,0.0,0,1.5481924944915604,-1.5481924944915604,-0.46693359802595813,-0.624123430536104,0.0008051935032032985,0.0555583517210276
FJ01,枫泾镇,太湖片-苏沪嘉小片,æ,0,69,0,0,0,0.0,0,2.1077238908357994,-2.1077238908357994,-0.46693359802595813,-1.6309165176099327,0.00011785284446312658,0.008131846267955734
FX01,奉贤,太湖片-苏沪嘉小片,ɔ,76,77,1,1,6,1.9459101490553132,1,0.0,-0.0,0.7302058998223309,2.1616174789064986,0.9180085060603138,70.68665496664417
FX01,奉贤,太湖片-苏沪嘉小片,ɒ,0,77,0,0,0,0.0,1,0.35999999999999993,-0.35999999999999993,-0.46693359802595813,1.5138513057933247,0.04840660987494044,3.727308960370414
FX01,奉贤,太湖片-苏沪嘉小片,u,0,77,1,1,165,5.111987788356544,1,1.1700000000000002,-1.1700000000000002,2.6780022033165225,0.05637741628868252,0.016510177191503776,1.2712836437457906
FX01,奉贤,太湖片-苏沪嘉小片,ɯ,1,77,1,1,1,0.6931471805599453,1,1.5391231269784755,-1.5391231269784755,-0.04050390492150895,-0.6078044597402487,0.00464720659618971,0.35783490790660766
FX01,奉贤,太湖片-苏沪嘉小片,ɤ,0,77,0,0,0,0.0,1,1.0628264204469138,-1.0628264204469138,-0.46693359802595813,0.24922024819407998,0.004331267944230205,0.3335076317057258
