onset_class,rank_within_onset,exact_chain,S0,S1,S2,S3,structure_pattern,point_count,share_within_onset,point_list
P,28,ᴀ → o → ʌɯ → u,ᴀ,o,ʌɯ,u,全对立,1,0.012195121951219513,LY01 溧阳
P,29,ᴀ → u → u → u,ᴀ,u,u,u,S1=S2=S3,1,0.012195121951219513,CS02 常熟虞山镇
P,30,ᴀ → ᴀ → u → u,ᴀ,ᴀ,u,u,S0=S1，S2=S3,1,0.012195121951219513,GQ01 高桥
P,31,ᴇ → ɑ → ɷ → u,ᴇ,ɑ,ɷ,u,全对立,1,0.012195121951219513,DB01 郎溪梅渚镇定埠
TS,1,ɑ → o → u → u,ɑ,o,u,u,S2=S3,10,0.12195121951219512,BZ01 堡镇、CM01 崇明城桥、FC01 奉城、FX01 奉贤、HM01 海门镇沙地话、HY01 海盐县城、JW01 江湾、JX01 嘉兴城区、SJ01 松江镇、SJ02 泗泾
TS,2,ᴀ → o → u → u,ᴀ,o,u,u,S2=S3,8,0.0975609756097561,BS01 宝山、FJ01 枫泾镇、GQ01 高桥、JD01 嘉定城厢、JS02 金山朱泾、SH01 上海市区、XZ01 莘庄、ZR01 真如
TS,3,a → o → o → u,a,o,o,u,S1=S2,7,0.08536585365853659,KQ01 柯桥、LA01 临安城区、PB01 彭埠镇、SX01 绍兴城区东头埭、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇
TS,4,a → o → u → u,a,o,u,u,S2=S3,7,0.08536585365853659,HN01 海宁硖石、JS01 嘉善魏塘镇、LT01 练塘、MH01 闵行、NH01 南汇惠南镇、PH01 平湖城关、TX01 桐乡城区
TS,5,a → o → əu → əu,a,o,əu,əu,S2=S3,5,0.06097560975609756,CX02 长兴、KS01 昆山市区玉山镇、TC01 太仓沙溪、TC02 太仓城厢、WX02 吴县光福镇
TS,6,a → o → əu → u,a,o,əu,u,全对立,4,0.04878048780487805,FH01 奉化西坞、JT01 金坛、NB01 宁波市区、YX02 鄞县中区
TS,7,ᴀ → iɔ → u → u,ᴀ,iɔ,u,u,S2=S3,3,0.036585365853658534,CS01 川沙浦东、SL01 三林、ZP01 周浦
TS,8,a → o → au → u,a,o,au,u,全对立,2,0.024390243902439025,BL01 北仑、ZS01 舟山定海
TS,9,a → uo → u → u,a,uo,u,u,S2=S3,2,0.024390243902439025,LP01 临平五杭、YQ01 於潜
TS,10,ɔ → o → əu → əu,ɔ,o,əu,əu,S2=S3,2,0.024390243902439025,WJ01 吴江市松陵、WJ02 吴江芦墟
TS,11,a → o → ou → ou,a,o,ou,ou,S2=S3,1,0.012195121951219513,CX01 慈溪逍林
TS,12,a → o → ou → u,a,o,ou,u,全对立,1,0.012195121951219513,ZJ03 诸暨直埠镇
TS,13,a → o → ou → ɥ,a,o,ou,ɥ,全对立,1,0.012195121951219513,YY01 余姚城关
TS,14,a → o → ɐu → u,a,o,ɐu,u,全对立,1,0.012195121951219513,DS01 岱山岱西镇
TS,15,a → o → ɔi → u,a,o,ɔi,u,全对立,1,0.012195121951219513,ZJ01 诸暨城关
TS,16,a → o → ɤɯ → ɥ,a,o,ɤɯ,ɥ,全对立,1,0.012195121951219513,CZ01 常州
TS,17,a → o → ɷ → u,a,o,ɷ,u,全对立,1,0.012195121951219513,YX01 宜兴
TS,18,a → o → ʊ → ʊ,a,o,ʊ,ʊ,S2=S3,1,0.012195121951219513,FY01 富阳城关
TS,19,a → o̞ → o → u,a,o̞,o,u,全对立,1,0.012195121951219513,XC01 新昌城关
TS,20,a → yo → u → u,a,yo,u,u,S2=S3,1,0.012195121951219513,TL01 桐庐镇
TS,21,a → yo → ɤ → u,a,yo,ɤ,u,全对立,1,0.012195121951219513,QD01 启东吕四
TS,22,a → ɔ → u → u,a,ɔ,u,u,S2=S3,1,0.012195121951219513,DQ01 德清乾元
TS,23,a → ɔ → ɔ → u,a,ɔ,ɔ,u,S1=S2,1,0.012195121951219513,SZ02 嵊州长乐
TS,24,a → əɯ → əɯ → əɯ,a,əɯ,əɯ,əɯ,S1=S2=S3,1,0.012195121951219513,WX01 无锡城区
TS,25,a → ɤ → ɤ → u,a,ɤ,ɤ,u,S1=S2,1,0.012195121951219513,SZ03 嵊州崇仁镇
TS,26,a → ɷ → əu → əu,a,ɷ,əu,əu,S2=S3,1,0.012195121951219513,HZ02 湖州市区
TS,27,a → ɷ → ɷ → u,a,ɷ,ɷ,u,S1=S2,1,0.012195121951219513,AJ01 安吉安城
TS,28,a → ʊ → ɤɯ → u,a,ʊ,ɤɯ,u,全对立,1,0.012195121951219513,ZJ02 诸暨璜山镇
TS,29,ia → uo → u → u,ia,uo,u,u,S2=S3,1,0.012195121951219513,FY02 富阳东梓关
TS,30,ia → yo → u → u,ia,yo,u,u,S2=S3,1,0.012195121951219513,XD01 新登下港
TS,31,æ → o → əɯ → əɯ,æ,o,əɯ,əɯ,S2=S3,1,0.012195121951219513,JY01 江阴城区澄江镇
TS,32,æ → o → ɤɯ → u,æ,o,ɤɯ,u,全对立,1,0.012195121951219513,NT01 南通金沙镇
TS,33,æ → o → ʌɤ → u,æ,o,ʌɤ,u,全对立,1,0.012195121951219513,JJ01 靖江城区
TS,34,ɐ → o → o → y,ɐ,o,o,y,S1=S2,1,0.012195121951219513,SY02 上虞百官镇
TS,35,ɑ → o → əu → əu,ɑ,o,əu,əu,S2=S3,1,0.012195121951219513,SZ01 苏州城区
TS,36,ɑ → yo → ɤ → ɯ,ɑ,yo,ɤ,ɯ,全对立,1,0.012195121951219513,HM02 海门四甲
TS,37,ɑ → ɑ → ə → u,ɑ,ɑ,ə,u,S0=S1,1,0.012195121951219513,DY01 丹阳
TS,38,ɒ → ʊ → əu → əu,ɒ,ʊ,əu,əu,S2=S3,1,0.012195121951219513,QP01 青浦商榻
TS,39,ɛ → a → o → o,ɛ,a,o,o,S2=S3,1,0.012195121951219513,HZ01 杭州城区
TS,40,ᴀ → o → ʌɯ → u,ᴀ,o,ʌɯ,u,全对立,1,0.012195121951219513,LY01 溧阳
TS,41,ᴀ → u → ɯ → ɯ,ᴀ,u,ɯ,ɯ,S2=S3,1,0.012195121951219513,CS02 常熟虞山镇
TS,42,ᴇ → ɑ → ɷ → ʮ,ᴇ,ɑ,ɷ,ʮ,全对立,1,0.012195121951219513,DB01 郎溪梅渚镇定埠
Ø,1,a → o → u → u,a,o,u,u,S2=S3,11,0.13414634146341464,CX02 长兴、FY01 富阳城关、HN01 海宁硖石、JS01 嘉善魏塘镇、LT01 练塘、NH01 南汇惠南镇、PH01 平湖城关、TC01 太仓沙溪、TC02 太仓城厢、TX01 桐乡城区、XD01 新登下港
Ø,2,a → o → o → u,a,o,o,u,S1=S2,7,0.08536585365853659,KQ01 柯桥、LA01 临安城区、PB01 彭埠镇、SX01 绍兴城区东头埭、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇
Ø,3,ɑ → o → u → u,ɑ,o,u,u,S2=S3,6,0.07317073170731707,BZ01 堡镇、CM01 崇明城桥、HY01 海盐县城、JW01 江湾、JX01 嘉兴城区、SJ02 泗泾
Ø,4,ᴀ → o → u → u,ᴀ,o,u,u,S2=S3,5,0.06097560975609756,FJ01 枫泾镇、GQ01 高桥、JD01 嘉定城厢、JS02 金山朱泾、SH01 上海市区
Ø,5,a → uo → u → u,a,uo,u,u,S2=S3,4,0.04878048780487805,FY02 富阳东梓关、LP01 临平五杭、TL01 桐庐镇、YQ01 於潜
Ø,6,ᴀ → ɔ → u → u,ᴀ,ɔ,u,u,S2=S3,4,0.04878048780487805,CS01 川沙浦东、SL01 三林、ZP01 周浦、ZR01 真如
Ø,7,a → o → ou → u,a,o,ou,u,全对立,3,0.036585365853658534,CX01 慈溪逍林、YY01 余姚城关、ZJ03 诸暨直埠镇
Ø,8,a → o → əu → u,a,o,əu,u,全对立,3,0.036585365853658534,FH01 奉化西坞、NB01 宁波市区、YX02 鄞县中区
Ø,9,ɑ → iɑ → u → u,ɑ,iɑ,u,u,S2=S3,3,0.036585365853658534,FX01 奉贤、HM01 海门镇沙地话、SJ01 松江镇
Ø,10,a → o → əu → əu,a,o,əu,əu,S2=S3,2,0.024390243902439025,KS01 昆山市区玉山镇、WX02 吴县光福镇
Ø,11,a → ɔ → u → u,a,ɔ,u,u,S2=S3,2,0.024390243902439025,DQ01 德清乾元、MH01 闵行
Ø,12,ɔ → o → u → u,ɔ,o,u,u,S2=S3,2,0.024390243902439025,WJ01 吴江市松陵、WJ02 吴江芦墟
Ø,13,a → ia → ɤɯ → u,a,ia,ɤɯ,u,全对立,1,0.012195121951219513,CZ01 常州
Ø,14,a → o → au → u,a,o,au,u,全对立,1,0.012195121951219513,ZS01 舟山定海
Ø,15,a → o → ɐu → u,a,o,ɐu,u,全对立,1,0.012195121951219513,DS01 岱山岱西镇
Ø,16,a → o → ɔi → u,a,o,ɔi,u,全对立,1,0.012195121951219513,ZJ01 诸暨城关
Ø,17,a → o → ɤ → u,a,o,ɤ,u,全对立,1,0.012195121951219513,QD01 启东吕四
Ø,18,a → o̞ → o → u,a,o̞,o,u,全对立,1,0.012195121951219513,XC01 新昌城关
Ø,19,a → u → əɯ → u,a,u,əɯ,u,S1=S3 [越级],1,0.012195121951219513,WX01 无锡城区
Ø,20,a → uo → au → u,a,uo,au,u,全对立,1,0.012195121951219513,BL01 北仑
Ø,21,a → ɔ → o → u,a,ɔ,o,u,全对立,1,0.012195121951219513,SZ02 嵊州长乐
Ø,22,a → ɤ → ɤ → u,a,ɤ,ɤ,u,S1=S2,1,0.012195121951219513,SZ03 嵊州崇仁镇
Ø,23,a → ɷ → u → u,a,ɷ,u,u,S2=S3,1,0.012195121951219513,AJ01 安吉安城
Ø,24,a → ɷ → u → əu,a,ɷ,u,əu,全对立,1,0.012195121951219513,HZ02 湖州市区
Ø,25,a → ʊ → ɤɯ → u,a,ʊ,ɤɯ,u,全对立,1,0.012195121951219513,ZJ02 诸暨璜山镇
Ø,26,ia → o → ɷ → u,ia,o,ɷ,u,全对立,1,0.012195121951219513,YX01 宜兴
Ø,27,iɛ → ia → o → u,iɛ,ia,o,u,全对立,1,0.012195121951219513,HZ01 杭州城区
Ø,28,iɛ → ia → əu → u,iɛ,ia,əu,u,全对立,1,0.012195121951219513,JT01 金坛
Ø,29,æ → o → əɯ → u,æ,o,əɯ,u,全对立,1,0.012195121951219513,JY01 江阴城区澄江镇
Ø,30,æ → o → ʌɤ → u,æ,o,ʌɤ,u,全对立,1,0.012195121951219513,JJ01 靖江城区
Ø,31,æ → uo → ɤɯ → u,æ,uo,ɤɯ,u,全对立,1,0.012195121951219513,NT01 南通金沙镇
Ø,32,ɐ → o → o → u,ɐ,o,o,u,S1=S2,1,0.012195121951219513,SY02 上虞百官镇
Ø,33,ɑ → iɑ → ə → u,ɑ,iɑ,ə,u,全对立,1,0.012195121951219513,DY01 丹阳
Ø,34,ɑ → o → əu → əu,ɑ,o,əu,əu,S2=S3,1,0.012195121951219513,SZ01 苏州城区
Ø,35,ɑ → ɔ → u → u,ɑ,ɔ,u,u,S2=S3,1,0.012195121951219513,FC01 奉城
Ø,36,ɑ → ɯo → ɤ → ɯ,ɑ,ɯo,ɤ,ɯ,全对立,1,0.012195121951219513,HM02 海门四甲
Ø,37,ɒ → ʊ → u → u,ɒ,ʊ,u,u,S2=S3,1,0.012195121951219513,QP01 青浦商榻
Ø,38,ᴀ → ia → u → u,ᴀ,ia,u,u,S2=S3,1,0.012195121951219513,BS01 宝山
Ø,39,ᴀ → iᴀ → u → u,ᴀ,iᴀ,u,u,S2=S3,1,0.012195121951219513,XZ01 莘庄
Ø,40,ᴀ → o → ʌɯ → u,ᴀ,o,ʌɯ,u,全对立,1,0.012195121951219513,LY01 溧阳
Ø,41,ᴀ → u → ɯ → u,ᴀ,u,ɯ,u,S1=S3 [越级],1,0.012195121951219513,CS02 常熟虞山镇
Ø,42,ᴇ → ɑ → ɷ → u,ᴇ,ɑ,ɷ,u,全对立,1,0.012195121951219513,DB01 郎溪梅渚镇定埠
