point_id,point_name,unique_vowel_count,token_vowel_count,unique_vowel_set,slot_coverage,S0_slot_unique_vowel_count,S1_slot_unique_vowel_count,S2_slot_unique_vowel_count,S3_slot_unique_vowel_count,S0_slot_token_vowel_count,S1_slot_token_vowel_count,S2_slot_token_vowel_count,S3_slot_token_vowel_count,subbranch,lat,lon
SH01,上海市区,8,381,"i, iᴀ, iᴇ, o, u, ɔ, ᴀ, ᴇ","S0,S1,S2,S3",5,3,4,3,49,80,119,133,太湖片-苏沪嘉小片,31.245251317000687,121.47209312541509
SJ01,松江镇,8,373,"e, i, iu, iɑ, o, u, ɑ, ɔ","S0,S1,S2,S3",5,5,5,3,49,85,111,128,太湖片-苏沪嘉小片,31.036008868377273,121.22465745683684
SJ02,泗泾,6,250,"i, iɑ, o, u, ɑ, əu","S0,S1,S2,S3",3,3,4,3,36,53,66,95,太湖片-苏沪嘉小片,31.118775274975683,121.27114807482758
SL01,三林,8,249,"e, iɔ, iᴀ, o, u, ɔ, ɤ, ᴀ","S0,S1,S2,S3",4,5,4,2,36,53,65,95,太湖片-苏沪嘉小片,31.14556367853321,121.50266996292858
SZ01,苏州城区,10,354,"i, io, iɑ, o, uᴇ, v, ɑ, əu, ɪ, ᴇ","S0,S1,S2,S3",6,4,6,3,52,78,105,119,太湖片-苏沪嘉小片,31.29881005567972,120.5842465949506
TC01,太仓沙溪,9,365,"a, i, ia, iɔ, iɪ, o, u, ɔ, əu","S0,S1,S2,S3",4,3,7,4,46,82,109,128,太湖片-苏沪嘉小片,31.55669694801828,121.07694150440597
TC02,太仓城厢,8,366,"a, ia, io, o, u, ui, əu, ᴇ","S0,S1,S2,S3",4,3,6,3,39,87,111,129,太湖片-苏沪嘉小片,31.457113404346295,121.11208518322822
TX01,桐乡城区,5,240,"a, i, ia, o, u","S0,S1,S2,S3",4,3,3,2,37,52,69,82,太湖片-苏沪嘉小片,30.62837635390344,120.55967958073325
WJ01,吴江市松陵,9,288,"a, io, iɔ, o, u, ɔ, əu, ɪ, ᴇ","S0,S1,S2,S3",5,4,7,3,43,64,77,104,太湖片-苏沪嘉小片,31.151716675903405,120.64901016522084
WJ02,吴江芦墟,6,231,"i, iɔ, o, u, ɔ, əu","S0,S1,S2,S3",2,3,5,3,32,50,62,87,太湖片-苏沪嘉小片,31.009803453390855,120.83681736613912
WX01,无锡城区,7,343,"a, ia, u, yə, yʊ, əɯ, ʌ","S0,S1,S2,S3",2,4,6,3,46,77,98,122,太湖片-苏沪嘉小片,31.5672385460996,120.3044028357254
WX02,吴县光福镇,7,323,"a, ia, io, o, u, æ, əu","S0,S1,S2,S3",3,5,5,3,40,70,97,116,太湖片-苏沪嘉小片,31.283712541086764,120.39250256018134
XZ01,莘庄,8,256,"e, iu, iᴀ, o, u, ɔ, ɤ, ᴀ","S0,S1,S2,S3",4,4,5,2,39,57,65,95,太湖片-苏沪嘉小片,31.124822322270933,121.36994323180724
ZP01,周浦,8,249,"e, iɔ, iᴀ, o, u, ɔ, ɤ, ᴀ","S0,S1,S2,S3",4,5,4,2,36,53,65,95,太湖片-苏沪嘉小片,31.115354843880898,121.57500604757446
ZR01,真如,5,248,"iᴀ, o, u, ɔ, ᴀ","S0,S1,S2,S3",3,4,2,2,35,53,65,95,太湖片-苏沪嘉小片,31.25725388552751,121.40120261716866
AJ01,安吉安城,7,303,"a, e, i, ia, u, ɔ, ɷ","S0,S1,S2,S3",3,4,5,3,42,74,96,91,太湖片-苕溪小片,30.71501207030173,119.69403152449726
CX02,长兴,5,240,"a, ia, o, u, əu","S0,S1,S2,S3",3,3,4,3,39,57,59,85,太湖片-苕溪小片,31.015985667983664,119.92556298117788
DQ01,德清乾元,7,322,"a, i, ia, o, u, ɔ, ᴇ","S0,S1,S2,S3",4,4,6,2,44,71,100,107,太湖片-苕溪小片,30.41128187027115,120.3066753297041
HZ02,湖州市区,6,287,"a, e, ia, u, əu, ɷ","S0,S1,S2,S3",3,3,5,3,39,61,79,108,太湖片-苕溪小片,30.902792630239233,120.085631081529
LP01,临平五杭,7,302,"a, i, ia, o, u, uo, y","S0,S1,S2,S3",4,4,6,1,43,64,83,112,太湖片-苕溪小片,30.494257613,120.253757428
