point_id,point_name,subbranch,chain_slot,total_tokens,eligible_tokens,clear_split_tokens,i_medial_tokens,i_offglide_tokens,non_core_diphthong_tokens,medial_pending_tokens,checked_or_coda_tokens,monophthong_tokens,point_count,value_types,clear_split_values,clear_split_rate,raw_clear_split_share,medial_pending_share,i_offglide_share,non_core_diphthong_share
SH01,上海市区,太湖片-苏沪嘉小片,S1,79,72,0,7,0,0,0,0,72,1,3,,0.0,0.0,0.0,0.0,0.0
SH01,上海市区,太湖片-苏沪嘉小片,S2,119,119,0,0,0,0,0,0,119,1,4,,0.0,0.0,0.0,0.0,0.0
SH01,上海市区,太湖片-苏沪嘉小片,S3,136,136,0,0,0,0,0,0,136,1,3,,0.0,0.0,0.0,0.0,0.0
SJ01,松江镇,太湖片-苏沪嘉小片,S0,51,42,0,9,0,0,0,0,42,1,6,,0.0,0.0,0.0,0.0,0.0
SJ01,松江镇,太湖片-苏沪嘉小片,S1,101,86,0,15,0,0,0,0,86,1,5,,0.0,0.0,0.0,0.0,0.0
SJ01,松江镇,太湖片-苏沪嘉小片,S2,115,115,0,0,0,0,0,0,115,1,4,,0.0,0.0,0.0,0.0,0.0
SJ01,松江镇,太湖片-苏沪嘉小片,S3,135,135,0,0,0,0,0,0,135,1,3,,0.0,0.0,0.0,0.0,0.0
SJ02,泗泾,太湖片-苏沪嘉小片,S0,35,33,0,2,0,0,0,0,33,1,3,,0.0,0.0,0.0,0.0,0.0
SJ02,泗泾,太湖片-苏沪嘉小片,S1,52,45,0,7,0,0,0,0,45,1,3,,0.0,0.0,0.0,0.0,0.0
SJ02,泗泾,太湖片-苏沪嘉小片,S2,65,65,18,0,0,0,0,0,47,1,4,əu,0.27692307692307694,0.27692307692307694,0.0,0.0,0.0
SJ02,泗泾,太湖片-苏沪嘉小片,S3,95,95,14,0,0,0,0,0,81,1,3,əu,0.14736842105263157,0.14736842105263157,0.0,0.0,0.0
SL01,三林,太湖片-苏沪嘉小片,S0,35,31,0,4,0,0,0,0,31,1,4,,0.0,0.0,0.0,0.0,0.0
SL01,三林,太湖片-苏沪嘉小片,S1,52,38,0,14,0,0,0,0,38,1,5,,0.0,0.0,0.0,0.0,0.0
SL01,三林,太湖片-苏沪嘉小片,S2,64,64,0,0,0,0,0,0,64,1,4,,0.0,0.0,0.0,0.0,0.0
SL01,三林,太湖片-苏沪嘉小片,S3,95,95,0,0,0,0,0,0,95,1,2,,0.0,0.0,0.0,0.0,0.0
SX01,绍兴城区东头埭,太湖片-临绍小片,S0,49,41,0,7,0,0,0,1,41,1,6,,0.0,0.0,0.0,0.0,0.0
