point_id,point_name,onset_class,S0,S1,S2,S3,exact_chain,slot_distinct_count,一级分类,二级分类,三级分类(详细模式),is_leapfrog,unplaced_values
LT01,练塘,M,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
LY01,溧阳,M,ᴀ,o,ʌɯ,ʌɯ,ᴀ → o → ʌɯ → ʌɯ,3,合流型,单一合并,S2=S3,False,
MH01,闵行,M,a,o,o,o,a → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
NB01,宁波市区,M,a,o,əu,əu,a → o → əu → əu,3,合流型,单一合并,S2=S3,False,
NH01,南汇惠南镇,M,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
NT01,南通金沙镇,M,æ,o,ɤɯ,u,æ → o → ɤɯ → u,4,分立型,全不等,全对立,False,
PB01,彭埠镇,M,a,o,o,o,a → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
PH01,平湖城关,M,a,o,o,o,a → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
QD01,启东吕四,M,a,ɤ,ɤ,ɤ,a → ɤ → ɤ → ɤ,2,合流型,多元合并,S1=S2=S3,False,
QP01,青浦商榻,M,ɒ,ʊ,ʊ,ʊ,ɒ → ʊ → ʊ → ʊ,2,合流型,多元合并,S1=S2=S3,False,
SH01,上海市区,M,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
SJ01,松江镇,M,ɑ,o,o,o,ɑ → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
SJ02,泗泾,M,ɑ,o,u,o,ɑ → o → u → o,3,合流型,单一合并,S1=S3 [越级],True,
SL01,三林,M,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
SX01,绍兴城区东头埭,M,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
SY02,上虞百官镇,M,ɐ,o,o,u,ɐ → o → o → u,3,合流型,单一合并,S1=S2,False,
SZ01,苏州城区,M,ɑ,o,o,o,ɑ → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
SZ02,嵊州长乐,M,a,ɔ,o,o,a → ɔ → o → o,3,合流型,单一合并,S2=S3,False,
SZ03,嵊州崇仁镇,M,a,ɤ,ɤ,u,a → ɤ → ɤ → u,3,合流型,单一合并,S1=S2,False,
TC01,太仓沙溪,M,a,o,o,o,a → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
TC02,太仓城厢,M,a,o,o,o,a → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
TL01,桐庐镇,M,a,uo,u,u,a → uo → u → u,3,合流型,单一合并,S2=S3,False,
TX01,桐乡城区,M,a,a,o,o,a → a → o → o,2,合流型,多元合并,S0=S1，S2=S3,False,
WJ01,吴江市松陵,M,ɔ,o,o,o,ɔ → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
WJ02,吴江芦墟,M,ɔ,o,o,o,ɔ → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
WX01,无锡城区,M,a,u,əɯ,əɯ,a → u → əɯ → əɯ,3,合流型,单一合并,S2=S3,False,
WX02,吴县光福镇,M,a,o,o,o,a → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
XC01,新昌城关,M,a,o̞,o,o,a → o̞ → o → o,3,合流型,单一合并,S2=S3,False,
XD01,新登下港,M,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
XH02,萧山城厢,M,a,o,o,o,a → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
XS01,象山丹城,M,a,o,o,o,a → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
XS03,萧山南阳镇,M,a,o,o,o,a → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
XZ01,莘庄,M,ᴀ,o,o,o,ᴀ → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
YQ01,於潜,M,a,uo,u,u,a → uo → u → u,3,合流型,单一合并,S2=S3,False,
YX01,宜兴,M,a,o,au,ɷ,a → o → au → ɷ,4,分立型,全不等,全对立,False,
YX02,鄞县中区,M,a,o,əu,əu,a → o → əu → əu,3,合流型,单一合并,S2=S3,False,
YY01,余姚城关,M,a,o,ou,ou,a → o → ou → ou,3,合流型,单一合并,S2=S3,False,
ZJ01,诸暨城关,M,a,o,ɔi,ɔi,a → o → ɔi → ɔi,3,合流型,单一合并,S2=S3,False,
ZJ02,诸暨璜山镇,M,a,ʊ,ɤɯ,ɤɯ,a → ʊ → ɤɯ → ɤɯ,3,合流型,单一合并,S2=S3,False,
ZJ03,诸暨直埠镇,M,a,o,ou,u,a → o → ou → u,4,分立型,全不等,全对立,False,
ZP01,周浦,M,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
ZR01,真如,M,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
ZS01,舟山定海,M,a,o,au,au,a → o → au → au,3,合流型,单一合并,S2=S3,False,
AJ01,安吉安城,P,a,ɷ,u,u,a → ɷ → u → u,3,合流型,单一合并,S2=S3,False,
BL01,北仑,P,a,o,au,u,a → o → au → u,4,分立型,全不等,全对立,False,
BS01,宝山,P,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
BZ01,堡镇,P,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
CM01,崇明城桥,P,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
CS01,川沙浦东,P,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
CS02,常熟虞山镇,P,ᴀ,u,u,u,ᴀ → u → u → u,2,合流型,多元合并,S1=S2=S3,False,
CX01,慈溪逍林,P,a,o,ou,u,a → o → ou → u,4,分立型,全不等,全对立,False,
CX02,长兴,P,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
CZ01,常州,P,a,o,ɤɯ,u,a → o → ɤɯ → u,4,分立型,全不等,全对立,False,
DB01,郎溪梅渚镇定埠,P,ᴇ,ɑ,ɷ,u,ᴇ → ɑ → ɷ → u,4,分立型,全不等,全对立,False,
DQ01,德清乾元,P,a,ɔ,u,u,a → ɔ → u → u,3,合流型,单一合并,S2=S3,False,
DS01,岱山岱西镇,P,a,o,ɐu,u,a → o → ɐu → u,4,分立型,全不等,全对立,False,
DY01,丹阳,P,ɑ,ɑ,ə,u,ɑ → ɑ → ə → u,3,合流型,单一合并,S0=S1,False,
FC01,奉城,P,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
FH01,奉化西坞,P,a,o,əu,u,a → o → əu → u,4,分立型,全不等,全对立,False,
FJ01,枫泾镇,P,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
FX01,奉贤,P,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
FY01,富阳城关,P,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
FY02,富阳东梓关,P,a,uo,u,u,a → uo → u → u,3,合流型,单一合并,S2=S3,False,
GQ01,高桥,P,ᴀ,ᴀ,u,u,ᴀ → ᴀ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
HM01,海门镇沙地话,P,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
HM02,海门四甲,P,ɑ,o,ɤ,ɯ,ɑ → o → ɤ → ɯ,4,分立型,全不等,全对立,False,
