point_id,point_name,onset_class,valid_slots,onset_inventory_size,slot_inventory_size,ratio,S0_onset_size,S0_slot_size,S0_ratio,S1_onset_size,S1_slot_size,S1_ratio,S2_onset_size,S2_slot_size,S2_ratio,S3_onset_size,S3_slot_size,S3_ratio
CZ01,常州,TS,S0+S1+S2+S3,8,15,0.5333333333333333,3,4,0.75,2,3,0.6666666666666666,1,3,0.3333333333333333,2,5,0.4
CZ01,常州,Ø,S0+S1+S2+S3,9,15,0.6,3,4,0.75,2,3,0.6666666666666666,2,3,0.6666666666666666,2,5,0.4
DB01,郎溪梅渚镇定埠,K,S0+S1+S2+S3,7,12,0.5833333333333334,2,3,0.6666666666666666,2,2,1.0,2,4,0.5,1,3,0.3333333333333333
DB01,郎溪梅渚镇定埠,M,S0+S1+S2+S3,4,12,0.3333333333333333,1,3,0.3333333333333333,1,2,0.5,1,4,0.25,1,3,0.3333333333333333
DB01,郎溪梅渚镇定埠,N,S2+S3,3,7,0.42857142857142855,,,,,,,2,4,0.5,1,3,0.3333333333333333
DB01,郎溪梅渚镇定埠,P,S0+S1+S2+S3,6,12,0.5,2,3,0.6666666666666666,1,2,0.5,2,4,0.5,1,3,0.3333333333333333
DB01,郎溪梅渚镇定埠,T,S2+S3,4,7,0.5714285714285714,,,,,,,3,4,0.75,1,3,0.3333333333333333
DB01,郎溪梅渚镇定埠,TS,S0+S1+S2+S3,7,12,0.5833333333333334,2,3,0.6666666666666666,2,2,1.0,1,4,0.25,2,3,0.6666666666666666
DB01,郎溪梅渚镇定埠,Ø,S0+S1+S2+S3,6,12,0.5,1,3,0.3333333333333333,2,2,1.0,2,4,0.5,1,3,0.3333333333333333
DQ01,德清乾元,K,S0+S1+S2+S3,10,16,0.625,2,4,0.5,3,4,0.75,4,6,0.6666666666666666,1,2,0.5
DQ01,德清乾元,M,S0+S1+S2+S3,5,16,0.3125,1,4,0.25,2,4,0.5,1,6,0.16666666666666666,1,2,0.5
DQ01,德清乾元,N,S2+S3,4,8,0.5,,,,,,,3,6,0.5,1,2,0.5
DQ01,德清乾元,P,S0+S1+S2+S3,7,16,0.4375,2,4,0.5,2,4,0.5,2,6,0.3333333333333333,1,2,0.5
DQ01,德清乾元,T,S2+S3,4,8,0.5,,,,,,,3,6,0.5,1,2,0.5
DQ01,德清乾元,TS,S0+S1+S2+S3,6,16,0.375,1,4,0.25,2,4,0.5,1,6,0.16666666666666666,2,2,1.0
DQ01,德清乾元,Ø,S0+S1+S2+S3,8,16,0.5,2,4,0.5,2,4,0.5,3,6,0.5,1,2,0.5
