point_id,point_name,onset_class,S0,S1,S2,S3
NB01,宁波市区, T,,,əu,u
NB01,宁波市区, Ø,a,o,əu,u
NB01,宁波市区,TS,,o,əu,u
NB01,宁波市区,TS*,a,o,,
NH01,南汇惠南镇, K,ia,a,u,u
NH01,南汇惠南镇, M,a,o,u,u
NH01,南汇惠南镇, N,a,,u,u
NH01,南汇惠南镇, P,a,o,u,u
NH01,南汇惠南镇, T,,,u,u
NH01,南汇惠南镇, Ø,a,o,u,u
NH01,南汇惠南镇,TS,,o,u,u
NH01,南汇惠南镇,TS*,a,o,,
NT01,南通金沙镇, K,æ,uo,ɤɯ,u
NT01,南通金沙镇, M,æ,o,ɤɯ,u
NT01,南通金沙镇, N,ɑ,ɑ,ɤɯ,u
NT01,南通金沙镇, P,æ,o,ɤɯ,u
NT01,南通金沙镇, T,,,ɤɯ,u
NT01,南通金沙镇, Ø,æ,uo,ɤɯ,u
NT01,南通金沙镇,TS,,o,ɤɯ,u
NT01,南通金沙镇,TS*,æ,uo,,
PB01,彭埠镇, K,a,o,o,u
PB01,彭埠镇, M,a,o,o,o
PB01,彭埠镇, N,a,o,o,u
PB01,彭埠镇, P,a,o,o,u
PB01,彭埠镇, T,,,o,u
PB01,彭埠镇, Ø,a,o,o,u
PB01,彭埠镇,TS,,o,o,u
PB01,彭埠镇,TS*,a,o,,
PH01,平湖城关, K,a,a,u,u
PH01,平湖城关, M,a,o,o,o
PH01,平湖城关, N,a,o,u,u
PH01,平湖城关, P,a,o,u,u
PH01,平湖城关, T,,,u,u
PH01,平湖城关, Ø,a,o,u,u
PH01,平湖城关,TS,,o,u,u
PH01,平湖城关,TS*,a,o,,
QD01,启东吕四, K,a,yo,ɤ,u
QD01,启东吕四, M,a,ɤ,ɤ,ɤ
QD01,启东吕四, N,a,a,ɤ,u
QD01,启东吕四, P,a,ɤ,ɤ,u
QD01,启东吕四, T,,,ɤ,u
QD01,启东吕四, Ø,a,o,ɤ,u
QD01,启东吕四,TS,,yo,ɤ,u
QD01,启东吕四,TS*,a,yo,,
QP01,青浦商榻, K,ɒ,ɒ,əu,əu
QP01,青浦商榻, M,ɒ,ʊ,ʊ,ʊ
QP01,青浦商榻, N,ɒ,ʊ,əu,əu
QP01,青浦商榻, P,ɒ,ʊ,u,u
QP01,青浦商榻, T,,,əu,əu
QP01,青浦商榻, Ø,ɒ,ʊ,u,u
QP01,青浦商榻,TS,,ʊ,əu,əu
QP01,青浦商榻,TS*,ɒ,ʊ,,
SH01,上海市区, K,ᴀ,ᴀ,u,u
SH01,上海市区, M,ᴀ,o,u,u
SH01,上海市区, N,ᴀ,ᴀ,u,u
SH01,上海市区, P,ᴀ,o,u,u
SH01,上海市区, T,,,u,u
SH01,上海市区, Ø,ᴀ,o,u,u
SH01,上海市区,TS,,o,u,u
SH01,上海市区,TS*,ᴀ,o,,
SJ01,松江镇, K,ɑ,ɑ,u,u
SJ01,松江镇, M,ɑ,o,o,o
SJ01,松江镇, N,ɑ,o,u,u
SJ01,松江镇, P,ɑ,o,u,u
SJ01,松江镇, T,,,u,u
SJ01,松江镇, Ø,ɑ,iɑ,u,u
SJ01,松江镇,TS,,o,u,u
SJ01,松江镇,TS*,ɑ,o,,
SJ02,泗泾, K,ɑ,ɑ,əu,əu
SJ02,泗泾, M,ɑ,o,u,o
SJ02,泗泾, N,ɑ,o,u,u
SJ02,泗泾, P,ɑ,o,u,u
SJ02,泗泾, T,,,u,u
SJ02,泗泾, Ø,ɑ,o,u,u
SJ02,泗泾,TS,,o,u,u
SJ02,泗泾,TS*,ɑ,o,,
SL01,三林, K,ᴀ,ᴀ,u,u
SL01,三林, M,ᴀ,o,u,u
SL01,三林, N,ᴀ,o,u,u
