point_id,point_name,subbranch,hao_value_counts,hao_status,hao_has_monophthong,hao_unmonophthongized,hao_dominant_value,core_nuclei,back_nuclei,core_nucleus_size,back_nucleus_size,subbranch_is_piling,subbranch_not_piling,core_has_low_back_ɑ_or_ɒ,core_lacks_low_back_ɑ_or_ɒ,core_has_open_mid_back_ɔ_or_ɒ,core_lacks_open_mid_back_ɔ_or_ɒ,core_has_ɑ,core_has_ɒ,core_has_ɔ,core_has_o_and_u,core_nucleus_size_ge_6,core_nucleus_size_le_5,back_nucleus_size_ge_4,back_nucleus_size_le_3,piling_and_lacks_low_back,piling_and_has_o_u_and_lacks_low_back
SZ03,嵊州崇仁镇,太湖片-临绍小片,ɑɒ(89),diphthong_or_glide_only,False,True,ɑɒ,"a, e, u, ɤ","u, ɤ",4,2,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False
TC01,太仓沙溪,太湖片-苏沪嘉小片,ɔ(97),monophthong_only,True,False,ɔ,"a, i, o, u, ɔ, ɛ","o, u, ɔ",6,3,False,True,False,True,True,False,False,False,True,True,True,False,False,True,False,False
TC02,太仓城厢,太湖片-苏沪嘉小片,ɔ(103),monophthong_only,True,False,ɔ,"a, o, u, ᴇ","o, u",4,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
TL01,桐庐镇,太湖片-临绍小片,ɔ(82),monophthong_only,True,False,ɔ,"a, u, ɔ, ɛ","u, ɔ",4,2,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,False
TX01,桐乡城区,太湖片-苏沪嘉小片,ɔ(90),monophthong_only,True,False,ɔ,"a, o, u, ɛ","o, u",4,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
WJ01,吴江市松陵,太湖片-苏沪嘉小片,ʌ(85),monophthong_only,True,False,ʌ,"a, o, u, ɔ, ɪ, ᴇ","o, u, ɔ",6,3,False,True,False,True,True,False,False,False,True,True,True,False,False,True,False,False
WJ02,吴江芦墟,太湖片-苏沪嘉小片,au(82),diphthong_or_glide_only,False,True,au,"i, o, u, ɔ","o, u, ɔ",4,3,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,False
WX01,无锡城区,太湖片-苏沪嘉小片,ʌ(98),monophthong_only,True,False,ʌ,"a, u, ʌ","u, ʌ",3,2,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False
WX02,吴县光福镇,太湖片-苏沪嘉小片,æ(96),monophthong_only,True,False,æ,"a, o, u, æ, ɛ","o, u",5,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
XC01,新昌城关,太湖片-临绍小片,"ɔ(83), ɯ(1)",monophthong_only,True,False,ɔ,"a, o, u, ɛ","o, u",4,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
XD01,新登下港,太湖片-临绍小片,"ɔ(94), u(1)",monophthong_only,True,False,ɔ,"a, o, u, ɔ, ɛ","o, u, ɔ",5,3,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,False
XH02,萧山城厢,太湖片-临绍小片,"ɒ(91), io(1)",mixed_mono_and_diphthong,True,False,ɒ,"a, e, o, u","o, u",4,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
XS01,象山丹城,太湖片-甬江小片,ɔ(91),monophthong_only,True,False,ɔ,"a, o, u, ɛ","o, u",4,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
XS03,萧山南阳镇,太湖片-临绍小片,ɔ(81),monophthong_only,True,False,ɔ,"a, o, u","o, u",3,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
XZ01,莘庄,太湖片-苏沪嘉小片,ɔ(69),monophthong_only,True,False,ɔ,"e, o, u, ɔ, ɛ, ɤ, ᴀ","o, u, ɔ, ɤ",7,4,False,True,False,True,True,False,False,False,True,True,True,False,True,False,False,False
