point_id,point_name,representative_chain,default_cluster_count,default_cluster,S0_representative_value,S0_all_onset_values,S0_is_diphthong,S0_midpoint_x,S0_midpoint_y,S0_dispersion,S1_representative_value,S1_all_onset_values,S1_is_diphthong,S1_midpoint_x,S1_midpoint_y,S1_dispersion,S2_representative_value,S2_all_onset_values,S2_is_diphthong,S2_midpoint_x,S2_midpoint_y,S2_dispersion,S3_representative_value,S3_all_onset_values,S3_is_diphthong,S3_midpoint_x,S3_midpoint_y,S3_dispersion,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8
TX01,桐乡城区,a → o → u → u,3,3,a,a(5),False,1.05,3.0,0.0,o,o(3)、a(2),False,3.0,1.0,0.3058,u,u(4)、o(1),False,3.0,0.0,0.0667,u,u(4)、o(1),False,3.0,0.0,0.0667,1,3,4,2,2,2,2
WJ01,吴江市松陵,ɔ → o → u → u,3,3,ɔ,ɔ(5),False,3.0,2.0,0.0,o,o(4)、ɔ(1),False,3.0,1.0,0.0667,u,əu(2)、u(2)、o(1),False,3.0,0.0,0.2312,u,əu(2)、u(2)、o(1),False,3.0,0.0,0.2312,1,3,4,5,6,5,6
WJ02,吴江芦墟,ɔ → o → u → u,3,3,ɔ,ɔ(5),False,3.0,2.0,0.0,o,o(4)、ɔ(1),False,3.0,1.0,0.0667,u,əu(2)、u(2)、o(1),False,3.0,0.0,0.2312,u,əu(2)、u(2)、o(1),False,3.0,0.0,0.2312,1,3,4,5,6,5,6
WX01,无锡城区,a → u → əɯ → əɯ,3,2,a,a(5),False,1.05,3.0,0.0,u,u(3)、a(1)、əɯ(1),False,3.0,0.0,0.3054,əɯ,əɯ(5),True,2.35,0.75,0.0,əɯ,əɯ(3)、u(2),True,2.35,0.75,0.1765,2,2,2,3,4,4,4
WX02,吴县光福镇,a → o → əu → əu,3,2,a,a(5),False,1.05,3.0,0.0,o,o(4)、a(1),False,3.0,1.0,0.1529,əu,əu(3)、o(1)、u(1),True,2.35,0.75,0.1681,əu,əu(3)、o(1)、u(1),True,2.35,0.75,0.1681,2,2,2,3,4,4,4
XC01,新昌城关,a → o̞ → o → u,3,1,a,a(5),False,1.05,3.0,0.0,o̞,o̞(5),False,3.0,1.35,0.0,o,o(5),False,3.0,1.0,0.0,u,u(4)、o(1),False,3.0,0.0,0.0667,1,1,1,1,1,1,1
XD01,新登下港,a → o → u → u,3,3,a,a(4)、ia(1),False,1.05,3.0,0.1247,o,o(4)、yo(1),False,3.0,1.0,0.0723,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,2,2,2,2
XH02,萧山城厢,a → o → o → u,3,1,a,a(5),False,1.05,3.0,0.0,o,o(5),False,3.0,1.0,0.0,o,o(5),False,3.0,1.0,0.0,u,u(4)、o(1),False,3.0,0.0,0.0667,1,1,1,1,1,1,1
XS01,象山丹城,a → o → o → u,3,1,a,a(5),False,1.05,3.0,0.0,o,o(5),False,3.0,1.0,0.0,o,o(5),False,3.0,1.0,0.0,u,u(4)、o(1),False,3.0,0.0,0.0667,1,1,1,1,1,1,1
XS03,萧山南阳镇,a → o → o → u,3,1,a,a(5),False,1.05,3.0,0.0,o,o(5),False,3.0,1.0,0.0,o,o(5),False,3.0,1.0,0.0,u,u(4)、o(1),False,3.0,0.0,0.0667,1,1,1,1,1,1,1
