point_id,point_name,mainlayer_onset_rows,S0_major_value,S0_major_support,S0_all_values,S1_major_value,S1_major_support,S1_all_values,S2_major_value,S2_major_support,S2_all_values,S3_major_value,S3_major_support,S3_all_values,major_chain,major_chain_has_tie,dominant_onset_chain,dominant_onset_chain_support,onset_chain_count,unplaced_mainlayer_values,major_pattern_point_count,major_pattern_share
SZ02,嵊州长乐,5,a,5,a(5),ɔ,5,ɔ(5),o,4,o(4)、ɔ(1),u,4,u(4)、o(1),a → ɔ → o → u,False,a → ɔ → o → u,3,3,,1,0.012195121951219513
SZ03,嵊州崇仁镇,5,a,5,a(5),ɤ,5,ɤ(5),ɤ,5,ɤ(5),u,5,u(5),a → ɤ → ɤ → u,False,a → ɤ → ɤ → u,5,1,,1,0.012195121951219513
TC01,太仓沙溪,5,a,5,a(5),o,4,o(4)、a(1),u / əu,2,əu(2)、u(2)、o(1),u / əu,2,əu(2)、u(2)、o(1),a → o → u / əu → u / əu,True,a → o → u → u,2,4,,3,0.036585365853658534
TC02,太仓城厢,5,a,5,a(5),o,4,o(4)、a(1),u / əu,2,əu(2)、u(2)、o(1),u / əu,2,əu(2)、u(2)、o(1),a → o → u / əu → u / əu,True,a → o → u → u,2,4,,3,0.036585365853658534
TL01,桐庐镇,5,a,5,a(5),uo,4,uo(4)、yo(1),u,5,u(5),u,5,u(5),a → uo → u → u,False,a → uo → u → u,4,2,,3,0.036585365853658534
TX01,桐乡城区,5,a,5,a(5),o,3,o(3)、a(2),u,4,u(4)、o(1),u,4,u(4)、o(1),a → o → u → u,False,a → o → u → u,3,3,,8,0.0975609756097561
WJ01,吴江市松陵,5,ɔ,5,ɔ(5),o,4,o(4)、ɔ(1),u / əu,2,əu(2)、u(2)、o(1),u / əu,2,əu(2)、u(2)、o(1),ɔ → o → u / əu → u / əu,True,ɔ → o → u → u,2,4,,2,0.024390243902439025
WJ02,吴江芦墟,5,ɔ,5,ɔ(5),o,4,o(4)、ɔ(1),u / əu,2,əu(2)、u(2)、o(1),u / əu,2,əu(2)、u(2)、o(1),ɔ → o → u / əu → u / əu,True,ɔ → o → u → u,2,4,,2,0.024390243902439025
WX01,无锡城区,5,a,5,a(5),u,3,u(3)、a(1)、əɯ(1),əɯ,5,əɯ(5),əɯ,3,əɯ(3)、u(2),a → u → əɯ → əɯ,False,a → u → əɯ → əɯ,2,4,,1,0.012195121951219513
WX02,吴县光福镇,5,a,5,a(5),o,4,o(4)、a(1),əu,3,əu(3)、o(1)、u(1),əu,3,əu(3)、o(1)、u(1),a → o → əu → əu,False,a → o → əu → əu,2,4,,2,0.024390243902439025
