point_id,point_name,onset_class,S1,S2,S3,type,type_formula,一级分类_S1_S3,二级分类_S1_S3
PB01,彭埠镇,P,o,o,u,T4,歌=麻≠模,合流型,单一合并
PB01,彭埠镇,TS,o,o,u,T4,歌=麻≠模,合流型,单一合并
PB01,彭埠镇,Ø,o,o,u,T4,歌=麻≠模,合流型,单一合并
PH01,平湖城关,K,a,u,u,T3,歌=模≠麻,合流型,单一合并
PH01,平湖城关,M,o,o,o,T2,歌=麻=模,合流型,全合并
PH01,平湖城关,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
PH01,平湖城关,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
PH01,平湖城关,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
QD01,启东吕四,K,yo,ɤ,u,T1,歌≠麻≠模,分立型,分立
QD01,启东吕四,M,ɤ,ɤ,ɤ,T2,歌=麻=模,合流型,全合并
QD01,启东吕四,P,ɤ,ɤ,u,T4,歌=麻≠模,合流型,单一合并
QD01,启东吕四,TS,yo,ɤ,u,T1,歌≠麻≠模,分立型,分立
QD01,启东吕四,Ø,o,ɤ,u,T1,歌≠麻≠模,分立型,分立
QP01,青浦商榻,K,ɒ,əu,əu,T3,歌=模≠麻,合流型,单一合并
QP01,青浦商榻,M,ʊ,ʊ,ʊ,T2,歌=麻=模,合流型,全合并
QP01,青浦商榻,P,ʊ,u,u,T3,歌=模≠麻,合流型,单一合并
QP01,青浦商榻,TS,ʊ,əu,əu,T3,歌=模≠麻,合流型,单一合并
QP01,青浦商榻,Ø,ʊ,u,u,T3,歌=模≠麻,合流型,单一合并
SH01,上海市区,K,ᴀ,u,u,T3,歌=模≠麻,合流型,单一合并
SH01,上海市区,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
SH01,上海市区,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
SH01,上海市区,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
SH01,上海市区,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
SJ01,松江镇,K,ɑ,u,u,T3,歌=模≠麻,合流型,单一合并
SJ01,松江镇,M,o,o,o,T2,歌=麻=模,合流型,全合并
SJ01,松江镇,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
SJ01,松江镇,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
