point_id,point_name,rhyme_modern,rhyme_phonetic_set
HM02,海门四甲,模,"ɤ, ɯ"
HM02,海门四甲,歌,"iɛ, ɑ, ɛ, ɤ"
HM02,海门四甲,皆,"ɑ, ɛ"
HM02,海门四甲,麻,"iɑ, o, yo, ɑ, ɯo"
HN01,海宁城关,佳,"a, ia, o"
HN01,海宁城关,戈,"o, u"
HN01,海宁城关,模,"o, u, ŋ"
HN01,海宁城关,歌,"a, o, u"
HN01,海宁城关,皆,"a, ia, iɛ"
HN01,海宁城关,麻,"a, ia, o"
HY01,海盐县城,佳,"iɑ, o, ɑ"
HY01,海盐县城,戈,"o, u"
HY01,海盐县城,模,"n, o, u, əʔ"
HY01,海盐县城,歌,"e, o, u, ɑ"
HY01,海盐县城,皆,"iɑ, iɛ, ɑ, ɛ"
HY01,海盐县城,麻,"iɑ, o, ɑ, ɤ"
HZ01,杭州城区,佳,"a, ia, iɛ, ɛ"
HZ01,杭州城区,戈,"o, u"
HZ01,杭州城区,模,"o, u"
HZ01,杭州城区,歌,"a, o"
HZ01,杭州城区,皆,"a, iɛ, ɛ"
HZ01,杭州城区,麻,"a, ia, ɛ"
HZ02,湖州市区,佳,"a, ia, ɷ"
HZ02,湖州市区,戈,"u, əu, ɷ"
HZ02,湖州市区,模,"u, w, əu, ɷ"
HZ02,湖州市区,歌,"a, e, u, əu"
HZ02,湖州市区,皆,"a, ia"
HZ02,湖州市区,麻,"a, ia, ɷ"
JD01,嘉定城关,佳,"iᴀ, iᴇ, o, ᴀ"
JD01,嘉定城关,戈,u
JD01,嘉定城关,模,"o, u"
JD01,嘉定城关,歌,"o, u, ᴀ"
JD01,嘉定城关,皆,"iᴀ, iᴇ, ᴀ, ᴇ"
JD01,嘉定城关,麻,"iᴀ, o, u, ø, ᴀ"
JJ01,靖江城区,佳,"iɑ, o, æ, ɑ"
JJ01,靖江城区,戈,"u, ʌɤ"
JJ01,靖江城区,模,"u, ʌɤ"
JJ01,靖江城区,歌,"æ, ɑ, ʌɤ"
JJ01,靖江城区,皆,"iæ, iɑ, æ"
JJ01,靖江城区,麻,"iɑ, o, ɑ"
JS01,嘉善魏塘镇,佳,"a, ia, o, ᴇ"
JS01,嘉善魏塘镇,戈,"o, u"
JS01,嘉善魏塘镇,模,"o, u"
JS01,嘉善魏塘镇,歌,"a, i, o, u, ɤ"
JS01,嘉善魏塘镇,皆,"a, iɪ, ᴇ"
JS01,嘉善魏塘镇,麻,"a, ia, o, ɔ"
JS02,金山,佳,"iᴀ, o, ɛ, ᴀ"
JS02,金山,戈,"o, u, ɔ"
JS02,金山,模,"o, u"
JS02,金山,歌,"i, o, u, ɤ, ᴀ"
JS02,金山,皆,"iɛ, iᴀ, ɛ, ᴀ"
JS02,金山,麻,"iᴀ, o, ɑ, ɔ, ᴀ"
JT01,金坛,佳,"a, ia, iɛ, o, ɛi"
JT01,金坛,戈,"ia, o, u, əu"
JT01,金坛,模,"ao, u, ŋ, ɔʔ, əu"
JT01,金坛,歌,"a, ao, o, əu"
JT01,金坛,皆,"a, ia, iɛ, ɛi"
JT01,金坛,麻,"a, ia, o, əʔ"
JW01,江湾,佳,"iɑ, o, ɑ, ᴀ"
JW01,江湾,戈,u
JW01,江湾,模,"o, u"
JW01,江湾,歌,"u, ᴀ"
JW01,江湾,皆,"iɑ, ɑ, ɛ"
JW01,江湾,麻,"iɑ, o, ɑ, ɔ, ᴀ"
JX01,嘉兴城区,佳,"iɑ, o, ɑ, ɛ"
JX01,嘉兴城区,戈,u
JX01,嘉兴城区,模,u
JX01,嘉兴城区,歌,"e, u, ɑ"
JX01,嘉兴城区,皆,"iɑ, ɑ, ɛ"
JX01,嘉兴城区,麻,"iɑ, o, ɑ"
JY01,江阴城区澄江镇,佳,"a, ia, æ"
JY01,江阴城区澄江镇,戈,"u, əɯ"
JY01,江阴城区澄江镇,模,"u, əɯ"
JY01,江阴城区澄江镇,歌,"a, o, ɒ, əɯ"
JY01,江阴城区澄江镇,皆,"a, ia, æ"
JY01,江阴城区澄江镇,麻,"a, ia, o"
KQ01,柯桥城关,佳,"a, e, ia, o"
KQ01,柯桥城关,戈,"a, io, o, u"
KQ01,柯桥城关,模,"o, u, y, ɒ"
KQ01,柯桥城关,歌,"a, o, u"
KQ01,柯桥城关,皆,"a, ia"
KQ01,柯桥城关,麻,"a, ia, io, o"
KS01,昆山市区玉山镇,佳,"a, o"
KS01,昆山市区玉山镇,戈,"o, u, ua, əu"
KS01,昆山市区玉山镇,模,"n, o, u, əu"
KS01,昆山市区玉山镇,歌,"a, u, əu"
KS01,昆山市区玉山镇,皆,"a, ia, ɛ"
KS01,昆山市区玉山镇,麻,"a, ia, o"
LA01,临安城区,佳,"a, ia, o"
LA01,临安城区,戈,"o, u"
LA01,临安城区,模,"o, u"
LA01,临安城区,歌,"a, o"
LA01,临安城区,皆,"a, ia"
LA01,临安城区,麻,"a, ia, o"
LP01,临平五杭,佳,"a, ia, o, uo, ɛ"
LP01,临平五杭,戈,"oŋ, u, uo, y"
LP01,临平五杭,模,u
LP01,临平五杭,歌,"a, u, uo"
LP01,临平五杭,皆,"a, ia"
LP01,临平五杭,麻,"a, ia, o, uo"
LT01,练塘,佳,"a, ia, o"
LT01,练塘,戈,"o, u"
LT01,练塘,模,"o, u"
LT01,练塘,歌,"a, u, ɔ"
LT01,练塘,皆,"a, ia"
LT01,练塘,麻,"a, ia, o"
LY01,溧阳,佳,"io, o, ᴀ"
LY01,溧阳,戈,ʌɯ
LY01,溧阳,模,"u, ŋ, ʌɯ"
LY01,溧阳,歌,"o, ɔ, ʌɯ, ᴀ"
LY01,溧阳,皆,"ie, ᴀ"
LY01,溧阳,麻,"ie, io, iɑ, o"
MH01,闵行,佳,"a, o"
MH01,闵行,戈,"o, u"
MH01,闵行,模,"o, u"
MH01,闵行,歌,"u, ŋ, ɤ"
MH01,闵行,皆,"a, ia"
MH01,闵行,麻,"a, ia, o, ɑ, ɔ, ɛ"
NB01,宁波市区,佳,"a, ia, o"
NB01,宁波市区,戈,"o, u, ø, əu"
NB01,宁波市区,模,"u, əu"
NB01,宁波市区,歌,"a, o, əu"
NB01,宁波市区,皆,"a, ie"
NB01,宁波市区,麻,"a, ia, o, uo, yo"
NH01,南汇惠南镇,佳,"a, ia, o, ɛ"
NH01,南汇惠南镇,戈,u
NH01,南汇惠南镇,模,"o, u"
NH01,南汇惠南镇,歌,"a, o, u, ɔ"
NH01,南汇惠南镇,皆,"a, ia, ɛ"
NH01,南汇惠南镇,麻,"a, ia, o, ɔ"
NT01,南通金沙镇,佳,"æ, ɑ"
NT01,南通金沙镇,戈,"iɑʔ, ɤɯ"
NT01,南通金沙镇,模,"u, ɤɯ"
NT01,南通金沙镇,歌,"ɑ, ɤɯ"
NT01,南通金沙镇,皆,æ
NT01,南通金沙镇,麻,"iɑ, o, u, uo, ɑ"
PB01,彭埠镇,佳,"a, ia, o"
PB01,彭埠镇,戈,"a, o, u, ø"
PB01,彭埠镇,模,"o, u"
PB01,彭埠镇,歌,o
PB01,彭埠镇,皆,a
PB01,彭埠镇,麻,"a, ia, o"
PH01,平湖城关,佳,a
PH01,平湖城关,戈,"o, u"
PH01,平湖城关,模,"o, u"
PH01,平湖城关,歌,"a, u"
PH01,平湖城关,皆,a
PH01,平湖城关,麻,"a, ia, o"
QD01,启东吕四,佳,"a, ia, yo, ɛ"
QD01,启东吕四,戈,ɤ
QD01,启东吕四,模,"u, ɤ"
QD01,启东吕四,歌,"a, ɤ"
QD01,启东吕四,皆,"a, ia, ɛ"
QD01,启东吕四,麻,"a, ia, o, yo, ɤ"
QP01,青浦商榻,佳,"iɒ, ɒ, ʊ"
QP01,青浦商榻,戈,"u, əu, ʊ"
QP01,青浦商榻,模,"iøʔ, u, əu, ʊ"
QP01,青浦商榻,歌,"iəu, u, ɐ, ɒ, əu, ʊ"
QP01,青浦商榻,皆,"iɒ, ɒ, ɛ"
QP01,青浦商榻,麻,"iɒ, ɒ, ʊ"
SH01,上海市区,佳,"iᴀ, o, ᴀ, ᴇ"
SH01,上海市区,戈,"o, u"
SH01,上海市区,模,"o, u, ɔ"
SH01,上海市区,歌,"i, o, u, ᴀ"
SH01,上海市区,皆,"iᴇ, ᴀ, ᴇ"
SH01,上海市区,麻,"iᴀ, o, ᴀ"
SJ01,松江镇,佳,"e, iɑ, o, ɑ"
SJ01,松江镇,戈,"o, u"
SJ01,松江镇,模,"o, u, ɔ"
SJ01,松江镇,歌,"o, u, ɑ, ɔ"
SJ01,松江镇,皆,"iɑ, iɛ, ɑ, ɛ"
SJ01,松江镇,麻,"iɑ, o, u, ɑ, ɔ"
SJ02,泗泾,佳,"iɑ, o, ɑ"
SJ02,泗泾,戈,"u, əu"
SJ02,泗泾,模,"o, u, əu"
SJ02,泗泾,歌,"i, u, ɑ, əu"
SJ02,泗泾,皆,ɑ
SJ02,泗泾,麻,"iɑ, o, ɑ"
SL01,三林,佳,"iᴀ, o, ᴀ"
SL01,三林,戈,u
SL01,三林,模,"o, u"
SL01,三林,歌,"o, u, ɤ, ᴀ"
SL01,三林,皆,"e, iᴀ, ᴀ"
SL01,三林,麻,"iɔ, iᴀ, o, ɔ, ᴀ"
SX01,绍兴城区东头埭,佳,"a, ia, ieʔ, io, o"
SX01,绍兴城区东头埭,戈,"a, o, u"
SX01,绍兴城区东头埭,模,"o, u, ɒ"
SX01,绍兴城区东头埭,歌,"a, ia, o, u"
SX01,绍兴城区东头埭,皆,"a, ia, iia"
SX01,绍兴城区东头埭,麻,"a, io, o"
SY02,上虞百官镇,佳,"iɐ, o, ɐ, ᴇ"
SY02,上虞百官镇,戈,"o, u, uo, ɐ"
SY02,上虞百官镇,模,"o, u, y"
SY02,上虞百官镇,歌,"iɐ, o, ɐ"
SY02,上虞百官镇,皆,"iɐ, ɐ, ᴇ"
SY02,上虞百官镇,麻,"iɐ, o, ɐ"
SZ01,苏州城区,佳,"iɑ, o, ɑ, ɪ"
SZ01,苏州城区,戈,"o, v, əu"
SZ01,苏州城区,模,"o, v, əu"
SZ01,苏州城区,歌,"i, o, ɑ, əu"
SZ01,苏州城区,皆,"iɑ, uᴇ, ɑ, ɪ, ᴇ"
SZ01,苏州城区,麻,"io, iɑ, o, ɑ"
SZ02,嵊州长乐,佳,"a, i, ia, iɔ, ᴇ"
SZ02,嵊州长乐,戈,"a, o, ɔ"
SZ02,嵊州长乐,模,"o, u"
SZ02,嵊州长乐,歌,"a, o, ɔ"
SZ02,嵊州长乐,皆,"a, ia, iᴇ"
SZ02,嵊州长乐,麻,"a, iɔ, ɔ"
SZ03,嵊州崇仁镇,佳,a
SZ03,嵊州崇仁镇,戈,ɤ
SZ03,嵊州崇仁镇,模,u
SZ03,嵊州崇仁镇,歌,"a, ɤ"
SZ03,嵊州崇仁镇,皆,"a, e"
SZ03,嵊州崇仁镇,麻,"a, ɤ"
TC01,太仓沙溪,佳,"a, ia, iɪ, o, ɛ"
TC01,太仓沙溪,戈,"o, u, əu"
TC01,太仓沙溪,模,"o, u, ɔ, əu"
TC01,太仓沙溪,歌,"a, i, o, u, ɔ, əu"
TC01,太仓沙溪,皆,"a, ia, iɪ, ɛ"
TC01,太仓沙溪,麻,"a, ia, o"
TC02,太仓城厢,佳,"a, ia, o, ᴇ"
TC02,太仓城厢,戈,"io, o, u, əu"
TC02,太仓城厢,模,"o, u, əu"
TC02,太仓城厢,歌,"a, o, u, əu"
TC02,太仓城厢,皆,"a, ia"
