point_id,point_name,onset_class,merge_S0_S1,merge_S1_S2,merge_S2_S3,merge_S1_S3,comparison_scope,merge_S1_S3_two_link_mean,merge_NT_S2_S3_only
JD01,嘉定城厢,P,0.0789,0.0,0.8095,0.0,S1-S3_two_link_mean,0.40475,
JD01,嘉定城厢,T,,,0.7,,S2-S3_only,,0.7
JD01,嘉定城厢,TS,0.1798,0.0,0.6875,0.0357,S1-S3_two_link_mean,0.34375,
JD01,嘉定城厢,Ø,0.1111,0.0,0.7143,0.0,S1-S3_two_link_mean,0.35715,
JJ01,靖江城区,K,0.0952,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
JJ01,靖江城区,M,0.0,0.0,0.2,0.0,S1-S3_two_link_mean,0.1,
JJ01,靖江城区,N,,,0.1765,,S2-S3_only,,0.1765
JJ01,靖江城区,P,0.1111,0.0,0.2857,0.0,S1-S3_two_link_mean,0.14285,
JJ01,靖江城区,T,,,0.0778,,S2-S3_only,,0.0778
JJ01,靖江城区,TS,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
JJ01,靖江城区,Ø,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
JS01,嘉善魏塘镇,K,0.8074,0.0,0.7037,0.0,S1-S3_two_link_mean,0.35185,
JS01,嘉善魏塘镇,M,0.1111,0.0,0.6,0.125,S1-S3_two_link_mean,0.3,
JS01,嘉善魏塘镇,N,,,0.6667,,S2-S3_only,,0.6667
JS01,嘉善魏塘镇,P,0.1871,0.0,0.8182,0.0,S1-S3_two_link_mean,0.4091,
JS01,嘉善魏塘镇,T,,,0.65,,S2-S3_only,,0.65
JS01,嘉善魏塘镇,TS,0.2688,0.0,0.7188,0.0714,S1-S3_two_link_mean,0.3594,
JS01,嘉善魏塘镇,Ø,0.0625,0.0,0.6667,0.0,S1-S3_two_link_mean,0.33335,
JS02,金山朱泾,K,0.658,0.0,0.5926,0.0,S1-S3_two_link_mean,0.2963,
JS02,金山朱泾,M,0.1111,0.5556,0.5625,0.5556,S1-S3_two_link_mean,0.55905,
JS02,金山朱泾,N,,,0.4444,,S2-S3_only,,0.4444
JS02,金山朱泾,P,0.1053,0.0,0.7273,0.0,S1-S3_two_link_mean,0.36365,
JS02,金山朱泾,T,,,0.375,,S2-S3_only,,0.375
JS02,金山朱泾,TS,0.2161,0.0,0.4688,0.0714,S1-S3_two_link_mean,0.2344,
JS02,金山朱泾,Ø,0.0,0.0208,0.5476,0.0,S1-S3_two_link_mean,0.2842,
JT01,金坛,K,0.3182,0.037,0.0,0.0,S1-S3_two_link_mean,0.0185,
JT01,金坛,M,0.1111,0.0,0.625,0.0,S1-S3_two_link_mean,0.3125,
JT01,金坛,N,,,0.0,,S2-S3_only,,0.0
JT01,金坛,P,0.0526,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
JT01,金坛,T,,,0.0778,,S2-S3_only,,0.0778
JT01,金坛,TS,0.1759,0.0,0.1429,0.0,S1-S3_two_link_mean,0.07145,
JT01,金坛,Ø,0.0868,0.1429,0.0,0.0,S1-S3_two_link_mean,0.07145,
JW01,江湾,K,0.4675,0.0,0.6667,0.0,S1-S3_two_link_mean,0.33335,
JW01,江湾,M,0.1111,0.0,0.625,0.0,S1-S3_two_link_mean,0.3125,
JW01,江湾,N,,,0.3333,,S2-S3_only,,0.3333
JW01,江湾,P,0.0,0.0,0.4545,0.0,S1-S3_two_link_mean,0.22725,
JW01,江湾,T,,,0.325,,S2-S3_only,,0.325
JW01,江湾,TS,0.2253,0.0,0.5,0.0714,S1-S3_two_link_mean,0.25,
JW01,江湾,Ø,0.0,0.0,0.4762,0.0,S1-S3_two_link_mean,0.2381,
JX01,嘉兴城区,K,0.5,0.0,0.6481,0.0,S1-S3_two_link_mean,0.32405,
JX01,嘉兴城区,M,0.1111,0.0,0.2,0.0,S1-S3_two_link_mean,0.1,
JX01,嘉兴城区,N,,,0.4444,,S2-S3_only,,0.4444
JX01,嘉兴城区,P,0.0,0.0,0.5455,0.0,S1-S3_two_link_mean,0.27275,
JX01,嘉兴城区,T,,,0.425,,S2-S3_only,,0.425
JX01,嘉兴城区,TS,0.1324,0.0,0.5,0.0,S1-S3_two_link_mean,0.25,
JX01,嘉兴城区,Ø,0.1111,0.0,0.4286,0.0,S1-S3_two_link_mean,0.2143,
JY01,江阴城区澄江镇,K,0.4188,0.037,0.0,0.0,S1-S3_two_link_mean,0.0185,
JY01,江阴城区澄江镇,M,0.0,0.0,0.6,0.0,S1-S3_two_link_mean,0.3,
JY01,江阴城区澄江镇,N,,,0.6389,,S2-S3_only,,0.6389
JY01,江阴城区澄江镇,P,0.0,0.0,0.7143,0.0,S1-S3_two_link_mean,0.35715,
JY01,江阴城区澄江镇,T,,,0.775,,S2-S3_only,,0.775
JY01,江阴城区澄江镇,TS,0.0,0.0,0.6875,0.0,S1-S3_two_link_mean,0.34375,
JY01,江阴城区澄江镇,Ø,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
KQ01,柯桥,K,0.2067,0.6591,0.1852,0.0,S1-S3_two_link_mean,0.42215,
KQ01,柯桥,M,0.1667,0.7222,0.0625,0.0625,S1-S3_two_link_mean,0.39235,
KQ01,柯桥,N,,,0.0588,,S2-S3_only,,0.0588
KQ01,柯桥,P,0.1637,0.7273,0.0238,0.0238,S1-S3_two_link_mean,0.37555,
KQ01,柯桥,T,,,0.025,,S2-S3_only,,0.025
KQ01,柯桥,TS,0.087,0.6875,0.1429,0.1429,S1-S3_two_link_mean,0.4152,
KQ01,柯桥,Ø,0.0,0.4286,0.3095,0.0,S1-S3_two_link_mean,0.36905,
KS01,昆山市区玉山镇,K,0.5671,0.0,0.7121,0.0,S1-S3_two_link_mean,0.35605,
KS01,昆山市区玉山镇,M,0.1111,0.5556,0.6,0.5556,S1-S3_two_link_mean,0.5778,
KS01,昆山市区玉山镇,N,,,0.6111,,S2-S3_only,,0.6111
KS01,昆山市区玉山镇,P,0.0556,0.0,0.7273,0.0,S1-S3_two_link_mean,0.36365,
KS01,昆山市区玉山镇,T,,,0.7,,S2-S3_only,,0.7
KS01,昆山市区玉山镇,TS,0.1344,0.0625,0.6607,0.0357,S1-S3_two_link_mean,0.3616,
KS01,昆山市区玉山镇,Ø,0.1111,0.0,0.6429,0.0,S1-S3_two_link_mean,0.32145,
LA01,临安城区,K,0.3182,0.2727,0.1852,0.0,S1-S3_two_link_mean,0.22895,
LA01,临安城区,M,0.1111,0.6,0.6,0.75,S1-S3_two_link_mean,0.6,
LA01,临安城区,N,,,0.0,,S2-S3_only,,0.0
LA01,临安城区,P,0.1111,0.5263,0.0,0.0,S1-S3_two_link_mean,0.26315,
LA01,临安城区,T,,,0.0185,,S2-S3_only,,0.0185
LA01,临安城区,TS,0.2411,0.587,0.2143,0.2143,S1-S3_two_link_mean,0.40065,
LA01,临安城区,Ø,0.1111,0.4286,0.0952,0.0,S1-S3_two_link_mean,0.2619,
LP01,临平五杭,K,0.5909,0.0,0.697,0.0,S1-S3_two_link_mean,0.3485,
LP01,临平五杭,M,0.1667,0.0,0.6,0.0,S1-S3_two_link_mean,0.3,
LP01,临平五杭,N,,,0.4444,,S2-S3_only,,0.4444
LP01,临平五杭,P,0.1111,0.0,0.6364,0.0,S1-S3_two_link_mean,0.3182,
LP01,临平五杭,T,,,0.4,,S2-S3_only,,0.4
LP01,临平五杭,TS,0.2688,0.0,0.6875,0.0,S1-S3_two_link_mean,0.34375,
LP01,临平五杭,Ø,0.0,0.0,0.619,0.0,S1-S3_two_link_mean,0.3095,
LT01,练塘,K,0.4221,0.0,0.6296,0.0,S1-S3_two_link_mean,0.3148,
LT01,练塘,M,0.1111,0.0,0.625,0.0,S1-S3_two_link_mean,0.3125,
LT01,练塘,N,,,0.3333,,S2-S3_only,,0.3333
LT01,练塘,P,0.0526,0.0,0.4545,0.0,S1-S3_two_link_mean,0.22725,
LT01,练塘,T,,,0.275,,S2-S3_only,,0.275
LT01,练塘,TS,0.1344,0.0,0.5,0.0714,S1-S3_two_link_mean,0.25,
LT01,练塘,Ø,0.0,0.0,0.4762,0.0,S1-S3_two_link_mean,0.2381,
LY01,溧阳,K,0.0703,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
LY01,溧阳,M,0.0,0.0,0.2,0.0,S1-S3_two_link_mean,0.1,
LY01,溧阳,N,,,0.0,,S2-S3_only,,0.0
LY01,溧阳,P,0.1111,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
