point_id,point_name,K,M,P,TS,Ø,subbranch,lat,lon,rule_macro_type,pattern_k3,pattern_k3_label,pattern_k4,pattern_k4_label,pattern_k5,pattern_k5_label,mds_x,mds_y
WJ02,吴江芦墟,S0=S1，S2=S3,S1=S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,31.009803453390855,120.83681736613912,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.40266166740001924,0.05346154011564382
WX01,无锡城区,S0=S1,S2=S3,S2=S3,S1=S2=S3,S1=S3 [越级],太湖片-苏沪嘉小片,31.5672385460996,120.3044028357254,越级/断裂型,3,扩展合流型,3,越级/断裂型,3,越级/断裂型,0.0009348317687992325,-0.07770131491486153
WX02,吴县光福镇,S0=S1，S2=S3,S1=S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,31.283712541086764,120.39250256018134,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.4026616674000192,0.0534615401156437
XC01,新昌城关,全对立,S2=S3,全对立,全对立,全对立,太湖片-临绍小片,29.51218962718775,120.90152839470582,保守分立型,2,保守分立型,2,保守分立型,2,保守分立型,0.5629011267007105,-0.16878158333364057
XD01,新登下港,S2=S3,S2=S3,S2=S3,S2=S3,S2=S3,太湖片-临绍小片,30.05504419208193,119.70643910381924,后段合并型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.22968035814145857,-0.18470483665940962
XH02,萧山城厢,S1=S2,S1=S2=S3,S1=S2,S1=S2,S1=S2,太湖片-临绍小片,30.184673237617087,120.26218610190767,中段合并型,1,中段合并型,1,中段合并型,1,中段合并型,0.0899322337996797,0.7522513772235598
XS01,象山丹城,S1=S2,S1=S2=S3,S1=S2,S1=S2,S1=S2,太湖片-甬江小片,29.47877399078279,121.8761040477852,中段合并型,1,中段合并型,1,中段合并型,1,中段合并型,0.0899322337996797,0.7522513772235598
XS03,萧山南阳镇,S1=S2,S1=S2=S3,S1=S2,S1=S2,S1=S2,太湖片-临绍小片,30.264074721662567,120.44397314596198,中段合并型,1,中段合并型,1,中段合并型,1,中段合并型,0.0899322337996797,0.7522513772235598
XZ01,莘庄,S0=S1，S2=S3,S1=S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,31.124822322270933,121.36994323180724,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.4026616674000192,0.05346154011564383
YQ01,於潜,S2=S3,S2=S3,S2=S3,S2=S3,S2=S3,太湖片-临绍小片,30.187905243932583,119.39323745469882,后段合并型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.22968035814145857,-0.1847048366594096
YX01,宜兴,全对立,全对立,全对立,全对立,全对立,太湖片-毗陵小片,31.34176176690364,119.82862754717812,保守分立型,2,保守分立型,2,保守分立型,2,保守分立型,0.6344475724976111,-0.02577226981257323
YX02,鄞县中区,全对立,S2=S3,全对立,全对立,全对立,太湖片-甬江小片,29.816552546783488,121.54599962737127,保守分立型,2,保守分立型,2,保守分立型,2,保守分立型,0.5629011267007105,-0.1687815833336405
YY01,余姚城关,全对立,S2=S3,全对立,全对立,全对立,太湖片-临绍小片,30.03828439897687,121.15542443185122,保守分立型,2,保守分立型,2,保守分立型,2,保守分立型,0.5629011267007104,-0.16878158333364043
ZJ01,诸暨城关,全对立,S2=S3,全对立,全对立,全对立,太湖片-临绍小片,29.7117133107683,120.24004681294583,保守分立型,2,保守分立型,2,保守分立型,2,保守分立型,0.5629011267007104,-0.16878158333364043
ZJ02,诸暨璜山镇,全对立,S2=S3,全对立,全对立,全对立,太湖片-临绍小片,29.571826761282235,120.33308245398152,保守分立型,2,保守分立型,2,保守分立型,2,保守分立型,0.5629011267007105,-0.16878158333364052
ZJ03,诸暨直埠镇,全对立,全对立,全对立,全对立,全对立,太湖片-临绍小片,29.830264930206425,120.2501858189284,保守分立型,2,保守分立型,2,保守分立型,2,保守分立型,0.6344475724976111,-0.02577226981257323
ZP01,周浦,S0=S1，S2=S3,S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,31.115354843880898,121.57500604757446,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.268761520132315,-0.18280689611948053
ZR01,真如,S2=S3,S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,31.25725388552751,121.40120261716866,后段合并型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.2296803581414585,-0.1847048366594095
ZS01,舟山定海,全对立,S2=S3,全对立,全对立,全对立,太湖片-甬江小片,30.021127079101433,122.11093332969364,保守分立型,2,保守分立型,2,保守分立型,2,保守分立型,0.5629011267007105,-0.16878158333364052
