point_id,point_name,onset_class,S0,S1,S2,S3,一级分类,二级分类,三级分类(详细模式),是否越级
JW01,江湾,TS,ɑ,o,u,u,合流型,单一合并,S2=S3,False
JW01,江湾,Ø,ɑ,o,u,u,合流型,单一合并,S2=S3,False
JX01,嘉兴城区,K,ɑ,ɑ,u,u,合流型,多元合并,S0=S1，S2=S3,False
JX01,嘉兴城区,M,ɑ,o,u,u,合流型,单一合并,S2=S3,False
JX01,嘉兴城区,P,ɑ,o,u,u,合流型,单一合并,S2=S3,False
JX01,嘉兴城区,TS,ɑ,o,u,u,合流型,单一合并,S2=S3,False
JX01,嘉兴城区,Ø,ɑ,o,u,u,合流型,单一合并,S2=S3,False
JY01,江阴城区澄江镇,K,æ,a,əɯ,u,分立型,全不等,全对立,False
JY01,江阴城区澄江镇,M,æ,o,əɯ,əɯ,合流型,单一合并,S2=S3,False
JY01,江阴城区澄江镇,P,æ,o,u,u,合流型,单一合并,S2=S3,False
JY01,江阴城区澄江镇,TS,æ,o,əɯ,əɯ,合流型,单一合并,S2=S3,False
JY01,江阴城区澄江镇,Ø,æ,o,əɯ,u,分立型,全不等,全对立,False
KQ01,柯桥城关,K,a,o,o,u,合流型,单一合并,S1=S2,False
KQ01,柯桥城关,M,a,o,o,u,合流型,单一合并,S1=S2,False
KQ01,柯桥城关,P,a,o,o,u,合流型,单一合并,S1=S2,False
KQ01,柯桥城关,TS,a,o,o,u,合流型,单一合并,S1=S2,False
KQ01,柯桥城关,Ø,a,o,o,u,合流型,单一合并,S1=S2,False
KS01,昆山市区玉山镇,K,a,a,əu,əu,合流型,多元合并,S0=S1，S2=S3,False
KS01,昆山市区玉山镇,M,a,o,o,o,合流型,多元合并,S1=S2=S3,False
KS01,昆山市区玉山镇,P,a,o,u,u,合流型,单一合并,S2=S3,False
KS01,昆山市区玉山镇,TS,a,o,əu,əu,合流型,单一合并,S2=S3,False
KS01,昆山市区玉山镇,Ø,a,o,əu,əu,合流型,单一合并,S2=S3,False
LA01,临安城区,K,a,o,o,u,合流型,单一合并,S1=S2,False
LA01,临安城区,M,a,o,o,o,合流型,多元合并,S1=S2=S3,False
LA01,临安城区,P,a,o,o,u,合流型,单一合并,S1=S2,False
LA01,临安城区,TS,a,o,o,u,合流型,单一合并,S1=S2,False
LA01,临安城区,Ø,a,o,o,u,合流型,单一合并,S1=S2,False
LP01,临平五杭,K,a,a,u,u,合流型,多元合并,S0=S1，S2=S3,False
LP01,临平五杭,M,a,o,u,u,合流型,单一合并,S2=S3,False
LP01,临平五杭,P,a,o,u,u,合流型,单一合并,S2=S3,False
LP01,临平五杭,TS,a,uo,u,u,合流型,单一合并,S2=S3,False
LP01,临平五杭,Ø,a,uo,u,u,合流型,单一合并,S2=S3,False
LT01,练塘,K,a,a,u,u,合流型,多元合并,S0=S1，S2=S3,False
LT01,练塘,M,a,o,u,u,合流型,单一合并,S2=S3,False
LT01,练塘,P,a,o,u,u,合流型,单一合并,S2=S3,False
LT01,练塘,TS,a,o,u,u,合流型,单一合并,S2=S3,False
LT01,练塘,Ø,a,o,u,u,合流型,单一合并,S2=S3,False
LY01,溧阳,K,ᴀ,o,ʌɯ,u,分立型,全不等,全对立,False
LY01,溧阳,M,ᴀ,o,ʌɯ,ʌɯ,合流型,单一合并,S2=S3,False
LY01,溧阳,P,ᴀ,o,ʌɯ,u,分立型,全不等,全对立,False
LY01,溧阳,TS,ᴀ,o,ʌɯ,u,分立型,全不等,全对立,False
LY01,溧阳,Ø,ᴀ,o,ʌɯ,u,分立型,全不等,全对立,False
MH01,闵行,K,a,a,u,u,合流型,多元合并,S0=S1，S2=S3,False
MH01,闵行,M,a,o,o,o,合流型,多元合并,S1=S2=S3,False
MH01,闵行,P,a,o,u,u,合流型,单一合并,S2=S3,False
MH01,闵行,TS,a,o,u,u,合流型,单一合并,S2=S3,False
MH01,闵行,Ø,a,ɔ,u,u,合流型,单一合并,S2=S3,False
NB01,宁波市区,K,a,o,əu,u,分立型,全不等,全对立,False
NB01,宁波市区,M,a,o,əu,əu,合流型,单一合并,S2=S3,False
NB01,宁波市区,P,a,o,əu,u,分立型,全不等,全对立,False
NB01,宁波市区,TS,a,o,əu,u,分立型,全不等,全对立,False
NB01,宁波市区,Ø,a,o,əu,u,分立型,全不等,全对立,False
NH01,南汇惠南镇,K,ia,a,u,u,合流型,单一合并,S2=S3,False
NH01,南汇惠南镇,M,a,o,u,u,合流型,单一合并,S2=S3,False
NH01,南汇惠南镇,P,a,o,u,u,合流型,单一合并,S2=S3,False
NH01,南汇惠南镇,TS,a,o,u,u,合流型,单一合并,S2=S3,False
NH01,南汇惠南镇,Ø,a,o,u,u,合流型,单一合并,S2=S3,False
NT01,南通金沙镇,K,æ,uo,ɤɯ,u,分立型,全不等,全对立,False
NT01,南通金沙镇,M,æ,o,ɤɯ,u,分立型,全不等,全对立,False
NT01,南通金沙镇,P,æ,o,ɤɯ,u,分立型,全不等,全对立,False
NT01,南通金沙镇,TS,æ,o,ɤɯ,u,分立型,全不等,全对立,False
NT01,南通金沙镇,Ø,æ,uo,ɤɯ,u,分立型,全不等,全对立,False
PB01,彭埠镇,K,a,o,o,u,合流型,单一合并,S1=S2,False
PB01,彭埠镇,M,a,o,o,o,合流型,多元合并,S1=S2=S3,False
PB01,彭埠镇,P,a,o,o,u,合流型,单一合并,S1=S2,False
PB01,彭埠镇,TS,a,o,o,u,合流型,单一合并,S1=S2,False
PB01,彭埠镇,Ø,a,o,o,u,合流型,单一合并,S1=S2,False
PH01,平湖城关,K,a,a,u,u,合流型,多元合并,S0=S1，S2=S3,False
